SMILES,logP,tPSA,MW,SweetSpot
CCN(CC)c1nccc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2C)n1,2.23632,117.34,403.179044,No
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3ncn[nH]3)c2)cc1,2.3705,151.11,393.0201605,No
CNCCn1cc(-c2ccc(F)c(C)c2)nc1C1CCN(c2ncnc(N)c2-c2cn[nH]c2)CC1,3.36332,113.57,475.2608202,No
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CC2CCCN2)CC1,3.3151,127.98,532.2322204,No
CCn1c(-c2nonc2N)nc2c(-c3cc[nH]c3)ncc(OCCCN)c21,1.8061,146.69,368.1709219,No
CCCCCCCCCCCCCCCCCCOC[C@@H]1CCC[C@H]1OP(=O)([O-])OCC[N+](C)(C)C,7.641,67.82,533.4209107,No
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1c2ccccc2CC1C1CC1,1.5169,78.53,380.1848406,No
CCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN(C(=O)[C@@H](N)CCCNC(=N)N)CCNC(=O)NCCCCN(CC(N)=O)C(=O)[C@H](CCC(C)C)NC(=O)[C@H](CN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,-4.35696,466.41,1058.646131,No
CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccn1,4.2929,88.99,524.2011552,No
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](CO)[C@H]1O)n1ccnc1,4.2702,183.96,650.3907327,No
C[C@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)cc(C2(S(C)(=O)=O)CCC2)n1,2.7885,111.3,471.1551953,No
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)c(F)c3)cn2CCN2CCC(F)CC2)CC1,5.4605,76.1,563.2795852,No
COc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,5.3142,93.96,460.1647739,No
O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.5334,96.66,540.2386075,No
N[C@H](COc1cncc(-c2ccc3[nH]c(=O)sc3c2)c1)Cc1c[nH]c2ccccc12,4.0817,96.79,416.1306969,Yes
