Smiles,pChEMBL_Value
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2c3ccccc3cc3ccccc23)cc1,4.92
Cc1cc(C)cc(C(=O)NC(=S)Nc2cc(C(F)(F)F)ccc2O)c1,4.65
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc[nH]c(=O)c3)cn2CCN2CCC2)CC1,5.24
Cc1cc(S(C)(=O)=O)ccc1C(=O)N1CCOc2ccc(-c3ccc4nc[nH]c4c3)cc2C1,6.0
Cn1c(CC(=O)N2CCc3ccc(F)cc32)nc(N2CCOCC2)cc1=O,6.91
Cc1ccc2nc(Cc3nc(N4CCOCC4)cc(=O)[nH]3)oc2c1,6.84
O=S(=O)(CC1CCCCC1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.47
CC(C)(C)c1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.64
COc1nc(NCC#N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,5.68
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)csc12,6.26
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccc2ccccc12,6.19
Cc1nc(N)nc2c1cc(-c1cnn(C)c1)c(=O)n2[C@H]1CC[C@H](OCC(N)=O)CC1,6.42
Nc1ncc(-c2ccc3nc(NC(=O)CCCN4CCCCC4)sc3c2)cc1C(F)(F)F,6.96
CC(C)Nc1ccc2cnn(-c3cncc(-c4ccc(C(=O)O)cc4)n3)c2c1,6.96
Cn1c(CC(=O)Nc2ccc(F)c(Cl)c2)nc(N2CCOC(CF)C2)cc1=O,6.9
CCC1SCc2ncnc(N3CCN(C(=O)[C@H](N)Cc4ccc(Cl)cc4)CC3)c21,5.92
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CC2(CCOCC2)c2ccccc21,6.81
NC(=O)c1cnc2c(c1)OCCc1cc(-c3n[nH]nc3-c3ccc(F)cc3F)sc1-2,6.3
