Initial molecule , Modified molecule
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCO)CC1 , CC(=O)Nc1c(N)ncnc1N1C[C@H]2C[C@@]2(c2nc(-c3nc(OCCOCCF)ncc3C(F)(F)F)cn2CCO)C1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3Cl)cn2CCN2CCCC2)CC1 , CCCCCCOn1nc(N)nc1N1CCCC(c2cc(-c3nc(F)cn3Cl)ccc2NCN(CC)CC)C1
Cc1ccc(-c2c(N)ncnc2N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3C)CC2)cc1 , Cc1ccc(-c2c(N)ncnc2N2C[C@H]3C[C@@]3(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CN)C2)cc1
CCN(CC)c1nccc(-c2sc(C(=O)N[C@H]3CCCN3C(N)=O)nc2C)n1 , NCc1c(-c2nc(NCCCCO)ncc2)cc(C(=O)N[C@H]2CCCN2C(N)=O)o1
CCOc1ccc(Nc2nc3ccccn3c2-c2nc(C)nc(N)n2)cn1 , CCOc1ccc(Nc2c(-c3nc(C#N)nc(I)n3)n3ccccc3n2)cn1
CC1CN(c2cc(=O)[nH]c(CC(=O)N3CCc4c(F)cccc43)n2)CCO1 , CC1CN(c2cc(=O)[nH]c([C@]3(N4CCc5c([18F])cccc54)OCCO3)n2)CCO1
Cc1cc(-c2cccc(OCCCC(F)(F)F)c2Cl)nc(N)n1 , CCCSc1c(OCCCC(F)(F)F)cccc1-c1nc(N)nc(CN)c1
CC(=O)Nc1cccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)c1 , CC(=O)Nc1cccc(OCc2nc(-c3nc(C#N)nc(I)n3)c3ccccc3n2)c1
CCNC(=O)Nc1ccc(-c2nc([C@@H]3COCCN3CC)c3c(cnn3C)n2)cc1 , CCNC(=O)Nc1ccc(-c2nc(C3CCCN3CC)c3c(n2)ccn3CN)cc1
NC1(c2ccc(-c3ncc4ncccc4c3-c3ccccc3)cc2)CCC1 , O=C(O)[C@]1CC[C@H](c2ccc(-c3ncc4ncccc4c3-c3ccccc3)cc2)CC1
NCC(Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1 , Brc1c(-c2ccc3nc[nH]c3c2)sc([C@@H]2OC=N[C@@H]2c2cncnc2)c1
