Initial molecule ; Modified molecule
Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1 ; Nc1cc(=O)n(C2(n3cccc3)NC(=O)N(c3ccc(-c4cnc5ncccn45)cc3)C2=O)cc1
NCC(NC(=O)c1sc(-c2ccccc2)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; NCCC(NC(=O)c1c(-c2ccnc3c2cc[nH]3)cc(-c2ccccc2)s1)c1ccccc1
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2Br)CC1 ; CCC(=CCCN(C)C)c1ccc(C(F)(F)F)c([C@@H]2OCc3ncnc(C4CCN(c5cccc(Br)c5N)CC4)c32)c1
COc1cc(CC(=O)Nn2c(N3CCOCC3)nc(C)cc2=O)ccc1F ; COc1cc(CCCCC(=O)Nc2nc3c(CC(=O)O)nc(N4CCOCC4)nc3s2)ccc1F
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)cc3)cn2CCN2CCCC2)CC1 ; CCc1c(N)ncnc1N1C[C@H]2C[C@@]2(c2nc(-c3ccc(F)cc3)cn2CCN(CC)CC)C1
Cc1nc(N)nc(-c2c(Nc3cccc4[nH]ncc34)nc3ccccn23)n1 ; Cc1nc(C(=O)O)nc(-c2c(CCNc3ccc4cn[nH]c4c3)nc3ccccn23)n1
NC1(c2ccc(-n3c(-c4cccnc4)nc4ccc(-c5ccccc5)nc43)cc2)CCC1 ; CCN(C(=O)I)c1ccc(-n2c(-c3cocc3)nc3ccc(-n4cccc4)nc32)cc1
Nc1cc(C(F)F)c(-c2nc(N3C4CCCC3COC4)nc(N3C4CCCC3COC4)n2)cn1 ; FC(F)c1c(-c2nc(N3C4CCCC3COC4)nc(N3CCOC4CCCC43)n2)cnc(I)c1
NC1(c2ccc(-n3c(-c4ccccc4)nc4ccc(NCc5ccccc5)nc43)cc2)CCC1 ; NC1(c2ccc(-n3c(-c4cnccn4)nc4ccc(CCn5cccc5)nc43)cc2)COC1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21 ; CCn1cnc2c(N3CCOCC3)nc(-c3ccc(C(=O)Cc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)N1CCc2c1ccc(F)c2F ; COCCN(C)c1nc(CCC(O)N2CCc3c2ccc(F)c3F)cc(=O)[nH]1
CC(=O)Nc1cccc(-c2ccc3nc(-c4ncccc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1 ; CC(=O)Nc1cccc(-c2ccc3nc(-c4ncncc4N)n(-c4cn(CC[C@@H](O)c5cncc(F)c5)c(=O)[nH]c4=O)c3n2)c1
NC1(c2ccc(-n3c(-c4cccnc4)nc4ccc(-c5ccccc5)nc43)cc2)CCC1 ; CCN(C(=O)I)c1cn(-n2nnc3c(-c4cocc4)nc(-n4cccc4)nc32)c(=O)[nH]c1=O
COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1ccccc1 ; O=S(=O)(Nc1cc(-c2ccc3[nH]cnc3c2)cnc1C1COC1)c1ccccc1
N[C@H](COc1cncc(C(=O)Nc2ccncc2)c1)Cc1c[nH]c2ccccc12 ; N[C@H](COc1cc([C@H](O)CCc2ncnc2)cnc1)Cc1cccc2c1[nH]cc2
Cc1cc(-c2nc(CNCCC3CC3)cn2N2CCC(c3c(N)ncnc3C#N)CC2)ccc1F ; Cc1cc(-c2nc([C@@H](CCO)NC3CC3)cn2N2CCCC(c3c([11C]#N)ncnc3N)C2)ccc1[18F]
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(C(C)C)ccn3)cn2CCN2CCC2)CC1 ; CCCNCCc1ccc(-c2cc(C(C)C)ccn2)cc1[C@@]12C[C@@H]1CN(n1ncc([N+](=O)[O-])c1N)C2
