Initial molecule , Modified molecule
COc1ccc(N2CCc3ncnc(-c4cccc(OC5CCN(C(C)=O)CC5)c4)c3C2)cn1 , CSc1ccc(N[C@H](C)c2cccc(OC3=CCN(C(C)=O)CC3)c2)nn1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3Cl)cn2CCN2CCCC2)CC1 , CCCSc1ccc([18F])cc1-c1cn(CCN2CCCC2)c(C2CCN(c3ncnc(N)c3N3CCOC3=O)CC2)n1
NC1([C@@H](CCc2ccc(Cl)cc2)NC(=O)N2CCCCC2)CCN(c2ncnc3[nH]ccc23)CC1 , N[N+]1(N(CCCc2ccc(Cl)cc2)C(=O)N2CCCCC2)CCN(c2ncnc3c2cc[nH]3)CC1
Cc1nc(N)nc(-n2c(Nc3cn[nH]c3)nc3ccccc32)n1 , Cc1nc(N)nc(-n2c(Nc3c[nH]cc3)nc3ccccc32)n1
Nc1ccc(S(=O)(=O)Nc2nncs2)cc1 , Nc1ncc(S(=O)(=O)Nc2nccs2)cn1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(N)=O)cn2CCN2CCC2)CC1 , CCCNCCn1cc(-c2cc(F)ccc2N2CCOC2=O)nc1C1CCCN(c2nc(CC#N)nn2CC)C1
N#CCNc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1 , N#CCc1ncnc(-n2c(SCCCc3cncc(S)c3)nc3ccccc32)n1
N[C@H](COc1cncc(C2C(=O)Nc3ccc(-c4ncc[nH]4)cc32)c1)Cc1c[nH]c2ccccc12 , N[C@H](COc1cc(N2CCc3cc(-c4ccccc4)ccc32)cnc1)Cc1c[nH]c2ccccc12
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccccc4)cccc3[nH]2)[nH]1 , c1cnc(CSc2nc3cc(-n4cccc4)ccc3[nH]2)c(C2CCCC2)c1
Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cnc(Cl)c(NS(=O)(=O)c3cccnc3)c2)n1 , COCc1cnc(OCc2cnc(Cl)c(NS(=O)(=O)Cc3cccnc3)c2)c(-c2nc(C)nc(CC#N)n2)c1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2C2CCNCC2)CC1 , C#Cc1c(CC)cnn1N1CCC(c2cc(-c3cc(OCCOCCF)ccc3C(F)(F)F)nn2C2=CCNCC2)CC1
CC(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1 , CC(=O)Nc1cn(-c2cncc(CC[C@@H](C)Cc3c[nH]c4ccccc34)c2)c(=O)[nH]c1=O
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(C(F)(F)F)ccc3F)cn2CCN2CCCC2)CC1 , CCc1c(N)ncnc1N1CCC(c2nc(-c3nc(CC(F)(F)F)cn3OCCOCCF)cn2CCN(CC)CC)CC1
COc1ncc(Nc2c(N3CCN(C(C)C)CC3)nc3ccc(-c4nc(C)nc(N)n4)cn23)cc1F , Cc1nc(N)nc(-c2cn3c(Nc4ccc(C5COC5)c(F)c4)c(N4CCN(C(C)C)CC4)nc3cc2)n1
Cc1cc(-c2nc(CC3CNC3)cn2N2CCC(c3c(N)ncnc3OCC(F)(F)F)CC2)ccc1F , Cc1cc(-c2nc(SCC3CNC3)cn2N2CCC(c3c(NCC(F)(F)F)ncnc3C)CC2)ncc1F
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1cc(C(C)C)ncn1 , Cc1c(-c2cc(C(C)C)ncn2)nc(C(=O)NC2C3CCC2CN(CC(N)=O)C3)s1
C[C@@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=S)n1C , CCOCCc1cnc2c(c1)nc(NC(=O)Nc1ccc3CC[C@H](CN)Oc3c1)n2C
