Initial molecule ; Modified molecule
NCC(NC(=O)c1sc(-c2cccnc2)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; NCCC(NC(=O)c1c(-c2ccnc3c2cc[nH]3)cc(-n2ccnc2)s1)n1cccc1
CC(=O)Nc1nc(C)c(-c2cnc(Nc3ccc(Cl)nc3)o2)s1 ; CNc1ccc(Nc2ncc(-c3c(C)nc(CNC(C)=O)s3)o2)cn1
Nc1cc(N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCN3CCC3)CC2)ncn1 ; CCCNCCn1cc(-c2cc([18F])ccc2OC(F)(F)C(F)F)nc1C1CCN(c2ncnc(CC#N)c2)CC1
Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc5c4OC(F)(F)O5)c3)cc12 ; Nc1n[nH]c2cnc(-n3ccc(OC[C@@H](N)Cc4cccc5c4OC(F)(F)O5)nc3=O)cc12
C=Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1 ; CC(C)(CO)c1cc2cc(-c3cncc(OC[C@@H](N)Cc4cccc5c4[nH]cc5)c3)ccc2cn1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cccc(F)c3)CC2)c1Cl ; Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cc(F)ccc3)CC2)c1Cl
COc1cc(S(=O)(=O)Nc2ccc(Nc3ccco3)cc2)nc(OC)n1 ; CSc1nn(O[11CH3])c(S(=O)(=O)Nc2ccc(COc3ccco3)cc2)n1
CC(=O)Nc1cc(Nc2cnn3c(C#N)cc(NC4CCC4)nc23)ccc1C ; COC(=O)c1cc(CCCSc2c3nc(NCC4CCC4)cc(C(=O)[C@@H](O)CO)n3nc2)ccc1C
CN(C)CCN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C#N)CC1 ; CCC(=CCCN(C)CCN(C)C)c1ccc(C(F)(F)F)c([C@@H]2OCc3ncnc(C4CCN(c5ncnc(N)c5C#N)CC4)c32)c1
Nc1ccc(-c2cncc(C[C@H](N)COc3c[nH]c4ccccc34)c2)cc1C(=O)c1cccc(Cl)c1 ; Nc1ccc(-c2cc(C[C@H](N)COc3c[nH]c4ccccc34)cnc2)cc1C(=O)c1cccc(Cl)c1
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(F)cccc21 ; NC(=O)C[C@H]1CO[C@@](c2ncc(C3CCCC3)s2)(N2CCc3c([18F])cccc32)O1
COc1ncc(Nc2cc(-c3nc(C)nc(N)n3)cnc2C[C@@H]2CN(C)CCN2S(C)(=O)=O)cc1F ; COc1ncc(Nc2cc(-c3nc(C)nc(I)n3)cnc2C[C@@H]2CN(C)CCN2S(C)(=O)=O)cc1F
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3ccc(C(F)(F)F)cc3)CC2)c1Br ; CCN(CC)CCCNc1cn(N2CCC[C@H](c3c(Br)cccc3N)C2)c(-c2ccc(C(F)(F)F)cc2)n1
NC[C@H](Cc1ccccc1F)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1 ; COC(Cc1ccccc1[18F])c1nc(Br)c(-c2ccc3nc[nH]c3c2)o1
Cc1nc(N)nc(-n2c(NC3CCOCC3)nc3ccccc32)n1 ; NCc1ccc(-n2c(NC3COOC3)nc3ccccc32)cc1C(=O)O
NC[C@H](Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1 ; COC(Cc1cncnc1)c1nc(Br)c(-c2ccnc3c2cc[nH]3)o1
CNCCn1cc(-c2cc(C(F)(F)F)ccn2)nc1C1CCN(c2ncnc(N)c2Br)CC1 ; NCCC[C@H](c1ccnc([C@@H]2OCc3ncnc(C4CCCN(c5cccc(CF)c5N)C4)c32)c1)C(F)(F)F
Cc1nc(N)nc(-c2c(Nc3ccc4cccnc4c3)nc3ccccn23)n1 ; NCc1ccc(-c2ncc3cnccc3c2CCNc2ccc3cccnc3c2)cc1N
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)N1c2ccccc2CC1CF ; O=c1cc([C@]2(N3c4ccccc4C[C@H]3Br)OCCO2)nc(C2CCCC2)[nH]1
CCC(NC(=O)N1CCC(N)(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 ; CCC(NC(=O)N1CCC(c2c(I)n3ccnc3cn2)CC1)c1ccc(NC)nc1
Cc1nc(N)nc(-c2cccnc2Nc2cnc(Cl)c(NS(=O)(=O)N3CCOCC3)c2)n1 ; COCCOc1ncc(COc2ncccc2-c2nc(C)nc(N)n2)cc1NS(=O)(=O)N1CCOCC1
CC(C)S(=O)(=O)C(C)(C)c1cc(-c2cc(C(F)(F)F)ncc2N)nc(N2CCOCC2)n1 ; CCS(=O)(=O)C(C)(C)c1cc(-c2cc(C(F)(F)F)ncc2N)nc(N2CCOCC2)n1
CC(C)(c1nc(-c2cc(C(F)(F)F)ncc2N)cc(N2CCOCC2)n1)S(=O)(=O)c1ccccc1 ; Cc1cnc(CC(F)(F)F)cc1-c1cc(C2CCNCC2)nc(C(C)(C)S(=O)(=O)n2cccc2)n1
NC1(c2ccc(-c3nn4ccccc4c3-c3ccccc3)cc2)CCC1 ; NC1(c2ccc(-c3nn4ccccc4c3-n3cccc3)cc2)CCC1
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2c[nH]c3ccccc23)cc1 ; NS(=O)(=O)c1cn(-n2nc(C(F)(F)F)cc2-c2cccc3c2[nH]cc3)c(=O)[nH]c1=O
CC(=O)Nc1cn2nc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1 ; C#Cc1ncc(-c2nn3cc(NC(C)=O)nc3cc2)cc1C(F)(F)F
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCN(C)C)cc4)cc3)nc21 ; CCc1ccc2nc(N3CCOCC3)n(-c3ccc(C(=O)Nc4ccc(C(=O)NCCN(C)C)nc4)cc3)c2n1
CCN(CC)CCn1cc(-c2cc(F)ccc2C)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1 ; C#Cc1c(CC(N)=O)c(N2CCC(c3c4c(ncn3)CO[C@H]4c3cc(C(=CCCN(CC)CC)CC)ccc3C)CC2)ncn1
O=c1cc(N2CCOCC2)nc(Cc2nc3cccc(F)c3o2)[nH]1 ; O=c1cc(N2CCOCC2)nc(CSc2nc3cccc([18F])c3o2)[nH]1
Cc1cc(-c2nc(CCO)cn2N2CCC(c3c(N)ncnc3-c3cn[nH]c3)CC2)ccc1F ; C#CCc1cc(-c2nc(CCO)cn2N2CCCC(c3c(-c4c[nH]nc4)ncnc3N)C2)ccc1F
NCCCC(NC(=O)c1sc(Br)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; CNCC(NC(=O)c1c(-c2ccnc3c2cc[nH]3)cc(OCCCOCCF)s1)n1cccc1
COC(=O)c1cccc(CC(=O)Nc2cc(=O)[nH]c(N3CCOCC3)n2)c1O ; COC(=O)c1ccnc(CC(=O)Nc2cc(=O)[nH]c(N3CCOCC3)n2)c1S
CC(NC(=O)N1CCC(N)(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 ; CNCC(NC(=O)N1CCC(c2c(I)n3ccnc3cn2)CC1)c1ccc(NC)cc1
CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1 ; COCCN(C)c1cc(=O)[nH]c(CC(=O)N2c3ccccc3CC2C)n1
Cn1c(C(=O)Cc2cccc3c2CCN3F)nc(N2CCOCC2)cc1=S ; C[C@H]1CO[C@]([C@@H]2CN(N3CCOCC3)c3ccccc32)([C@@H]2Cc3ccccc3N2F)O1
Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1 ; Cc1nccnc1-c1nc2c(-c3ccc(CNC(=O)n4cccc4)cc3)cnn2c(C2CCCC2)c1
O=S(=O)(Nc1ncc(Cl)cc1-c1cnc2ccc(-c3ccncc3)cc2n1)c1ccc(F)cc1 ; O=S(=O)(Nc1ncc(Cl)cc1-c1nc2cc(-c3ccncc3)ccc2nc1)c1ccc([18F])nc1
C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc3[nH]ccc3c2)n1 ; CS(=O)(=O)Cc1nc(C2=N[C@H](CC(=O)O)CC(=O)N2)nn1-c1ccc2[nH]ccc2c1
CNc1ncnc(C2CCN(n3cc(CCN4CCC4)nc3-c3cc(C(F)(F)F)ccn3)CC2)c1Cl ; CCCNCCc1cc(-c2cc(OC(F)(F)F)ccn2)ccc1N1CCC[C@H](c2c(NC)c(NC)ncn2)C1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN2CCCCC2)CC1 ; Nc1c(N2CCOC2=O)c(N2CCCC(c3nc(-c4cc(F)ccc4OC(F)(F)C(F)F)cn3NCN3CCCCC3)C2)ncn1
Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1 ; Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4cccc5c4[nH]cc5)c3)ccc2cn1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2C2CNC2)CC1 ; CNCCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1[C@@]12C[C@@H]1CN(c1ncnc(N)c1C(N)=O)C2
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2C2CCNC2)CC1 ; CCNCCn1nc(-c2nc(OCCOCCF)ncc2C(F)(F)F)cc1C1CCN(c2ncnc(N)c2C#N)CC1
C#Cc1cc(CC(=O)Nc2cc(=O)[nH]c(N3CCOCC3)n2)ccc1F ; CC#Cc1cc(CC(=O)Nc2cc(=O)[nH]c(N3CCOCC3)n2)ncc1[18F]
CC(=O)Nc1ccc2ccn(-c3cc(NCCCN(C)C)n4ncc(C#N)c4n3)c2c1 ; CC(=O)Nc1ccc2ccn(-c3ncc4nc(NCCCN(C)C)n([11C]#N)c4n3)c2c1
CCc1cc(Nc2cc(-c3nc(C)nc(N)n3)cnc2C(C)(C)O)cnc1OC ; CCc1nc(CCCSc2cc(-c3nc(C)nc(N)n3)cnc2C(C)(C)O)ncc1OC
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C)cn2CCN2CCCC2)CC1 ; CCCCCCOc1c(CC#N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C)cn2CCN2CCCC2)CC1
C=Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C(F)(F)F)cc3)cn2CCN2CCCC2)CC1 ; Nc1c(OCCF)cnn1N1C[C@H]2C[C@@]2(c2cc(-n3cc(OC(F)(F)C(F)F)c(=O)[nH]c3=O)ccc2CCN2CCCC2)C1
C[C@H]1CN(Cc2nc(N3CCOCC3)cn3cc(-c4ncc(N)cn4)nc23)CCN1S(C)(=O)=O ; Cc1ccc(-c2cn3cc(N4CCOCC4)nc(CN4CCN(S(C)(=O)=O)[C@@H](C)C4)c3n2)nc1
CCc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12 ; CCCCCCOc1n[nH]c2ccc(-c3cncc(CC[C@@H](C)Cc4cccc5c4[nH]cc5)c3)cc12
CN(C)CCNC(=O)c1cn2cc(-c3ncc(N)cn3)nc(N3CCOCC3)c2n1 ; COC(C)c1cn2cc(-c3ccc(N)nn3)nc2c(N2CCOCC2)n1
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(NC(=O)c2ccno2)n1 ; CS(=O)(=O)Cc1nc(C2CCNCC2)c(CCOC(=O)c2ccno2)o1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3Cl)cn2CCN2CCCC2)CC1 ; CCCSn1cc([18F])nc1-c1cn(CCN2CCCC2)c(C2CCN(c3ncnc(CC#N)c3C#N)CC2)n1
N[C@H](COc1ncc(Cl)cc1-c1ccc2cnccc2c1)Cc1c[nH]c2ccccc12 ; COCCOc1cnc(CC[C@@H](C)Cc2c[nH]c3ccccc23)c(-c2ncc3ccc(=O)[nH]c3c2)n1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)cnc3Cl)cn2CCN2CCC2)CC1 ; N#CCc1nn(C#N)c(N2CCCC(c3cc(-c4cc(F)cnc4Cl)ccc3CCN3CCC3)C2)n1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2Cc2ccccc2)[nH]1 ; O=c1cc(N2CCOCC2)nc(CCNc2nc3ccccc3n2Oc2ccccc2)[nH]1
Nc1cc(N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCN3CCC3)CC2)ncn1 ; N#CCc1cc(N2CCCC(c3cc(-c4cc(F)ccc4OC(F)(F)C(F)F)ccc3CCN3CCC3)C2)ncn1
Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc(OCCN5CCOCC5)c4)c3)cc12 ; COCCN(C)CCOc1cc(N(CC#CN)c2cc(-c3nn4ccnc4cc3)cnc2)ccc1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)c(C(F)F)c1 ; COCCN(C)c1nc(CC(=O)Nc2ccc(F)c(C(F)F)c2)cc(=O)[nH]1
CN1CCN(Cc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)CC1 ; N#CN1CCN(Sc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)c(CN)c(=S)[nH]2)CC1
CC(=O)Nc1cc(Nc2cnn3c(C#N)cc(NC4COC4)nc23)ccc1C1CC1 ; COC(=O)c1cc(Nc2c3nc(NC[C@@H](C)CO)cc(C#N)n3nc2)ccc1C(C)C
COc1ccc2[nH]c(Cc3nc(N4CCOCC4)cc(=O)[nH]3)nc2c1 ; COCCN(C)c1cc(=O)[nH]c(Cc2nc3cc(OC)ccc3[nH]2)n1
CN(C)CCCOc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1 ; CCOCCc1cc(-n2c(C(F)F)nc3c2cccc3OCCCN(C)C)nn1N1CCOCC1
CS(=O)(=O)N1CCN(Cc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)CC1 ; CS(=O)(=O)NN1CCN(C[C@@H]2CCc3c(ccn3C(=O)Cc3nc(N4CCOCC4)cc(=O)[nH]3)C2)CC1
C(=Cc1cncc(COC2CCN2)c1)c1ccncc1 ; C(=Nc1cc(COC2CCN2)cnc1)c1ccncc1
NC[C@H](Cc1ccccc1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1 ; NC[C@H](Cc1cncnc1)NC(=O)c1nc(Br)c(-c2ccnc3c2cc[nH]3)o1
O=S(=O)(Nc1ncc(Cl)cc1-c1ccnc2ccc(-c3cccnc3)cc12)c1ccc(F)cc1 ; CCCSc1cnc(N(C(C)C)S(=O)(=O)c2ccc(F)nc2)c(-c2ccnc3ccc(-c4cccnc4)cc23)c1
CN(C)CCCNC(=O)c1cn2cc(-c3ncc(N)cn3)nc(N3CCOCC3)c2n1 ; COCCN(C)c1nc(-c2ccc(CC#N)nn2)cn2cc(C(=O)NC(C)CN)nc12
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccncc4)cccc3o2)[nH]1 ; c1cnc(Cc2nc3c(-c4ccncc4)cccc3o2)c(C2CCCC2)c1
O=c1[nH]c2ccc(Nc3nccc(Nc4ccccc4Cl)n3)cc2[nH]1 ; CNc1ccccc1Nc1nc(COc2c3[nH]c(=O)[nH]c3ccc2)ncc1
Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1 ; O=C(O)c1cn(-c2nn(N3CCOCC3)c(N3CCOCC3)c2)c(=O)[nH]c1=O
NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1 ; N[C@]1CC[C@H](c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CC1
O=C(CSc1nnc(OCc2ccc3c(c2)CCCC3)o1)Nc1ncc([N+](=O)[O-])s1 ; O=C(CSc1nnc(NCCNCc2cccc3c2CCCC3)o1)Nc1ncc([N+](=O)[O-])s1
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccccc4)cccc3[nH]2)[nH]1 ; O=c1cc(N2CCOCC2)nc(CSc2nc3c(-n4cccc4)cccc3[nH]2)[nH]1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN2CCCC2)CC1 ; CCc1c(N)ncnc1N1CCCC(c2cc(-c3cc([18F])ccc3OC(F)(F)C(F)F)ccc2CCN2CCCC2)C1
CC(=O)Nc1cc(Nc2cnn3c(C#N)cc(NC4CC4)nc23)ccc1C ; CCCCNc1nc2c(Nc3ccc(CN)c(C(=O)OC)c3)cnn2c(C#N)c1
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc3[nH]cnc3c2)n1 ; CCCNS(=O)(=O)c1cc(N2CCOCC2)nc(-c2ccc3[nH]cnc3c2)n1
Nc1cc(C(F)F)c(-c2nc(N3CCOCC3)nc(N3C4CCC3COC4)n2)cn1 ; CCOCCc1cc(-c2c(C(F)F)cc(I)nc2)nn1N1C2COCC1COC2
C[C@@H](Nc1c(N)ncnc1C#N)c1nn2ccnc2c(=O)n1-c1ccccc1 ; C[C@@H](Nc1c(C(=O)[C@@H](O)CO)ncnc1I)c1nc2cccnc2n1-n1cccc1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)cc3)cn2CCN2CCCC2)CC1 ; CCN(CC)CCn1cc(-c2ccc(OCCOCCF)cc2)nc1C1CCN(c2ncnc(N)c2C#N)CC1
N[C@H](COc1cncc(-c2n[nH]c3ccc(N4CCOCC4)cc23)c1)Cc1c[nH]c2ccccc12 ; C[C@H](CCc1cc(-c2c3ncccc3cnc2N2CCOCC2)cnc1)Cc1c[nH]c2ccccc12
CCOc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCNC(C)C)CC1 ; COc1c(N)n(N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCNC(C)C)CC2)nc1
Nc1cc(C(F)F)c(-c2nc(N3CCOCC3)nc(N3CC4CCC(C3)O4)n2)cn1 ; CCOCCc1nc(N2CCOCC23CCC3)nc(-c2c([C@@H](O)CN)cc(I)nc2)n1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3Cl)cn2CCN2CCC2)CC1 ; CCCNCCn1cc(-c2cc(F)ccc2Cl)nc1C1CCN(c2nc(N)nn2C(N)=O)CC1
Nc1cc(N2CCC(c3nc(-c4cccc(F)c4)cn3CCN3CCCC3)CC2)ncn1 ; CCN(CC)CNc1ccc(-c2cc(F)ccc2)cc1C1CCN(c2cc(N)nc(=O)[nH]2)CC1
O=c1cc(N2CCOCC2)nc(Cc2nc3c(F)cccc3o2)[nH]1 ; [18F]c1cnc(Cc2ncccc2N2CCOCC2)c2c1occ2
CCc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4C(N)=O)CC3)n2)ccn1 ; NC(=O)Cc1c(N)ncnc1N1CCCC(c2nc(-c3cn([N+](=O)[O-])c(=O)[nH]c3=O)cn2CCN2CCC2)C1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cccc(C(F)(F)F)n3)cn2CCN2CCC2)CC1 ; CCCNCNn1cc(-c2nc(OC(F)(F)C(F)F)ncc2)nc1[C@@]12C[C@@H]1CN(c1ncnc(N)c1[N+](=O)[O-])C2
COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1ccccc1F ; COc1ncc(-c2cn3c(=O)ccnc3cc2)cc1N(C(C)C)S(=O)(=O)c1ccccc1[18F]
CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4C(N)=O)CC3)n2)ccn1 ; CC(C)n1cc(-c2cn(CCN3CCC3)c(C3CCCN(c4cccc(CC(N)=O)c4N)C3)n2)c(=O)[nH]c1=O
Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cnc(Cl)c(NS(=O)(=O)N3CCOCC3)c2)n1 ; COCc1ccc(Nn2c(=O)c(NS(=O)(=O)CN3CCOCC3)cn(Cl)c2=O)c(-c2nc(C)nc(CC#N)c2)c1
Cc1nc(C(=O)N[C@H]2[C@@H](C(N)=O)CCN2C)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1 ; Cc1c(-c2ccnc(C(N)CC(F)(F)F)c2)sc([C@H](O)CC[C@H]2[C@@H](C(N)=O)CCN2C)n1
