Initial,Modified,Delta
4.178914635,6.475677778,2.296763143
4.547359471,6.090411508,1.543052037
5.295506583,6.725466667,1.429960084
5.073866667,6.44896,1.375093333
5.5066,6.807966667,1.301366667
5.2032,6.476783333,1.273583333
5.201288413,6.45265127,1.251362857
5.317688889,6.511044444,1.193355556
5.9624918,7.1361,1.1736082
5.295506583,6.395533333,1.10002675
6.671633333,7.754588889,1.082955556
5.188252083,6.266292725,1.078040642
5.63077517,6.705096561,1.074321391
5.986118783,6.980933333,0.99481455
5.639451886,6.617855556,0.97840367
5.739403777,6.680361111,0.940957335
6.423066667,7.344,0.920933333
6.548118889,7.411011111,0.862892222
5.915585416,6.752088889,0.836503473
5.738118783,6.551733333,0.81361455
6.023852083,6.835922222,0.81207014
6.568195933,7.363977778,0.795781845
5.617438762,6.406833333,0.789394571
5.859837888,6.645244444,0.785406557
4.856666667,5.637933333,0.781266667
6.58745,7.368233333,0.780783333
6.583411508,7.364068889,0.780657381
6.093866667,6.8734,0.779533333
6.38536,7.146783333,0.761423333
6.2316,6.980555556,0.748955556
5.6834,6.4322,0.7488
5.459246042,6.181622222,0.72237618
6.539082222,7.239561111,0.700478889
6.449266667,7.146682222,0.697415556
6.84052,7.499833333,0.659313333
6.593761111,7.22905,0.635288889
6.03685,6.6614,0.62455
5.073866667,5.683666667,0.6098
6.044533333,6.646155556,0.601622222
6.434216667,7.030788889,0.596572222
6.651755556,7.215611111,0.563855556
6.582638889,7.141733333,0.559094444
5.662621047,6.220544841,0.557923795
6.440866667,6.983733333,0.542866667
6.5788,7.106916667,0.528116667
6.352559392,6.875471111,0.52291172
6.799833333,7.31448,0.514646667
6.455133333,6.959744444,0.504611111
6.1826,6.681705556,0.499105556
6.839766667,7.333252222,0.493485556
6.179718783,6.67156,0.491841217
5.950262865,6.431769267,0.481506401
6.539082222,7.001833333,0.462751111
6.450992725,6.91338,0.462387275
6.289871111,6.741638889,0.451767778
6.568195933,7.016313333,0.4481174
7.1556,7.603411111,0.447811111
6.391155556,6.836288889,0.445133333
7.114608889,7.536962222,0.422353333
6.7022,7.099255556,0.397055556
6.1826,6.570637778,0.388037778
6.585788889,6.97035,0.384561111
6.573006058,6.953144444,0.380138386
6.457534444,6.822722222,0.365187778
6.579438889,6.935233333,0.355794444
5.62397325,5.971918783,0.347945534
6.747866667,7.094744444,0.346877778
6.822392725,7.163673333,0.341280608
6.787176058,7.126066667,0.338890608
6.452894444,6.7894,0.336505556
6.957006667,7.291651111,0.334644444
6.686833333,7.016966667,0.330133333
7.046493333,7.370833333,0.32434
5.986118783,6.308278175,0.322159392
5.529068552,5.851159161,0.322090608
6.620824444,6.93475,0.313925556
6.289871111,6.602266667,0.312395556
6.154728889,6.458933333,0.304204444
6.69786,6.998666667,0.300806667
6.8723,7.166366667,0.294066667
7.151777778,7.436346667,0.284568889
5.517133333,5.801666667,0.284533333
6.030133333,6.3036,0.273466667
7.078933333,7.347977778,0.269044444
5.861996097,6.128495482,0.266499385
6.980547778,7.243235556,0.262687778
6.592744444,6.854088889,0.261344444
5.890052083,6.148518459,0.258466377
6.919528889,7.1662,0.246671111
6.397602222,6.6432,0.245597778
6.930355556,7.169688889,0.239333333
6.12738545,6.365359392,0.237973942
6.715711111,6.952866667,0.237155556
6.3629,6.598716667,0.235816667
6.865866667,7.100177778,0.234311111
7.062066667,7.290715556,0.228648889
6.788922222,7.015456667,0.226534444
6.457534444,6.682822222,0.225287778
6.310466667,6.534177778,0.223711111
6.824311111,7.041733333,0.217422222
6.8286,7.037866667,0.209266667
6.936577778,7.143088889,0.206511111
6.5457,6.739016667,0.193316667
6.497942222,6.685466667,0.187524444
7.309633333,7.496188889,0.186555556
6.476693333,6.662646667,0.185953333
6.476693333,6.662646667,0.185953333
6.807488889,6.985338889,0.17785
6.615222222,6.792755556,0.177533333
6.721333333,6.896044444,0.174711111
6.553019048,6.720648889,0.167629841
6.723377778,6.882516667,0.159138889
6.488377778,6.644826667,0.156448889
6.79656,6.951787778,0.155227778
6.514366667,6.661477778,0.147111111
6.08638545,6.230793333,0.144407883
6.954967778,7.0887,0.133732222
6.540333333,6.670844444,0.130511111
6.285426058,6.415692725,0.130266667
6.977733333,7.104133333,0.1264
6.512283333,6.637911111,0.125627778
6.70195,6.8206,0.11865
5.595970438,5.714009161,0.118038723
7.378894444,7.4966,0.117705556
6.932178889,7.04803,0.115851111
6.642445556,6.755833333,0.113387778
6.77765,6.887416667,0.109766667
6.754683333,6.858066667,0.103383333
6.641483333,6.743966667,0.102483333
6.71121,6.806476667,0.095266667
6.572716667,6.6657,0.092983333
7.051311111,7.1439,0.092588889
6.462006667,6.552617778,0.090611111
6.596388889,6.685594444,0.089205556
6.384714947,6.468959392,0.084244444
6.560333333,6.644133333,0.0838
6.772208889,6.854861111,0.082652222
5.641811277,5.722892494,0.081081217
5.726425366,5.807085219,0.080659853
6.594933333,6.6755,0.080566667
7.319933333,7.3952,0.075266667
6.505166667,6.579162222,0.073995556
6.48175,6.5522,0.07045
6.512283333,6.579255556,0.066972222
5.649637105,5.714409161,0.064772056
6.542838889,6.604466667,0.061627778
6.648911111,6.708566667,0.059655556
6.661577778,6.718293333,0.056715556
5.405659203,5.461887376,0.056228172
6.822392725,6.877266667,0.054873942
5.672333333,5.726425828,0.054092494
7.377594444,7.429838889,0.052244444
7.395546667,7.446252381,0.050705714
6.659888889,6.708222222,0.048333333
6.702835556,6.746083333,0.043247778
5.431918749,5.474718749,0.0428
6.795725556,6.838016667,0.042291111
6.901833333,6.943211111,0.041377778
6.703183333,6.74295,0.039766667
6.677833333,6.717206667,0.039373333
6.62608,6.663455556,0.037375556
6.831933333,6.8675,0.035566667
6.711796825,6.746743492,0.034946667
6.598155556,6.632314947,0.034159392
7.11065,7.14467,0.03402
6.744794444,6.777844444,0.03305
6.896977778,6.928906667,0.031928889
7.502537778,7.530671111,0.028133333
6.724366667,6.738066667,0.0137
6.642445556,6.653331111,0.010885556
6.725502222,6.732677778,0.007175556
6.496278175,6.502114947,0.005836772
6.461291111,6.466066667,0.004775556
6.659755556,6.659755556,0
6.8224,6.8224,0
6.997015556,6.997015556,0
6.507783333,6.507783333,0
6.814766667,6.814766667,0
6.617533333,6.617533333,0
6.507408889,6.507408889,0
7.114608889,7.108555556,-0.006053333
6.545333333,6.537715556,-0.007617778
6.570559392,6.562805556,-0.007753836
5.760318552,5.751718552,-0.0086
6.7487,6.739744444,-0.008955556
5.641811277,5.632052117,-0.009759161
6.701256667,6.690511111,-0.010745556
6.79656,6.784133333,-0.012426667
6.610694444,6.597537778,-0.013156667
6.595777778,6.57455,-0.021227778
6.710483333,6.686143333,-0.02434
6.692416667,6.662883333,-0.029533333
7.499193333,7.468072222,-0.031121111
6.7724,6.7395,-0.0329
6.744794444,6.709366667,-0.035427778
7.095466667,7.0582,-0.037266667
6.771516667,6.728244444,-0.043272222
5.812811111,5.764999769,-0.047811342
7.368216667,7.3187,-0.049516667
7.368216667,7.3187,-0.049516667
6.7194,6.6698,-0.0496
6.327666667,6.277333333,-0.050333333
6.686833333,6.635477778,-0.051355556
6.777233333,6.725633333,-0.0516
7.051311111,6.995333333,-0.055977778
6.902091111,6.843922222,-0.058168889
7.060388889,7.000216667,-0.060172222
6.720844444,6.6551,-0.065744444
7.043488889,6.96325,-0.080238889
5.882944611,5.802292494,-0.080652117
6.701583333,6.62085,-0.080733333
6.324266667,6.241111111,-0.083155556
7.31275,7.223104444,-0.089645556
6.578811111,6.486633333,-0.092177778
6.799833333,6.706811111,-0.093022222
6.946106667,6.852106667,-0.094
6.729433333,6.626177778,-0.103255556
7.217516667,7.112233333,-0.105283333
7.146266667,7.038866667,-0.1074
6.606466667,6.491666667,-0.1148
6.693466667,6.578577778,-0.114888889
6.724666667,6.6089,-0.115766667
6.887733333,6.771766667,-0.115966667
6.695866667,6.572133333,-0.123733333
6.932178889,6.807944444,-0.124234444
