Initial molecule ; Modified molecule
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1csc(N(C)C)n1 ; Cc1c(-c2csc(N(C)C)n2)nc(C(=O)N[C@H]2CCCN2CC(N)=O)s1
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Cl)cccc21 ; NC(=O)Cc1c(CC(=O)N2CCc3c(Cl)cccc32)nc(N2CCOCC2)s1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cncc(C)c3)cn2CCN2CCC2)CC1 ; C#Cc1c([N+](=O)[O-])cnn1N1CCC(c2nc(-c3cc(CC(=O)O)cnc3)cn2NCNCCC)CC1
Cc1nc(N)nc(-c2c(Nc3cc[nH]n3)nc3ccccn23)n1 ; Cc1ccc(-c2ncc3cnccc3c2Nc2n[nH]cc2)cc1N
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN2CCC2)CC1 ; N#CCc1c(N2CCOC2=O)c(N2CCC(c3nc(-c4nc([18F])cn4OC(F)(F)C(F)F)cn3NCN3CCC3)CC2)ncn1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C)cn2CCN2CCCC2)CC1 ; CCc1c(N)ncnc1N1CCCC(c2nc(-c3cc([18F])ccc3C)cn2CCN2CCCC2)C1
CS(=O)(=O)N1CCN(Cc2cn3cc(-c4nc(C(F)(F)F)ncc4N)nc(N4CCOCC4)c3n2)CC1 ; CS(=O)(=O)N1CCN[C@@H](Cc2cn3cc(-n4cc(-c5cccc[n+]5C(=O)O)cn4)nc(N4CCOCC4)c3n2)C1
COc1ccccc1-c1cccc2c1CCN2C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1 ; COCCN(C)c1cc(=O)[nH]c([C@H](O)n2ccc3c2CC[C@@H](c2ccccc2O[11CH3])C3)n1
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1 ; COCCN(C)c1c2sc(NCCN3CCN(OS(C)(=O)=O)CC3)cc2nc(-c2nn3ccccc3c2)n1
Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2ccc(C(F)(F)F)nc2)n1 ; Cc1nc(CC#N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2SCCCc2ccc(C(F)(F)F)nc2)n1
COc1ccc(Nc2nc3ccc(C(C)(C)O)cn3c2-c2nc(C)nc(N)n2)cn1 ; CC(C)(O)c1cn2c(-c3nc(C#N)nc(I)n3)c(NCc3ccc(C=O)nc3)nc2cc1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3ccc(Cl)cc3)CC2)c1C1CCC1 ; CCCCc1c(C2CCN(n3cc(NCCCN(CC)CC)nc3-c3ccc(Cl)cc3)CC2)c(N)ccc1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2C2CCCCC2)[nH]1 ; O=c1[nH]c2cccc(Cc3ncccc3N3CCOCC3)c2n1C1CCCCC1
Cn1c(NC(=O)Cc2ccccc2)nc(N2CCOCC2)cc1=O ; O=C(O)C[C@@H]1[C@H](NC(=O)Cc2cnccn2)c2ccccc2N1N1CCOCC1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21 ; CCn1c(N2CCOCC2)nc2ccc(-c3ccc(C[C@H](N)C(=O)Nc4ccc(C(=O)NCCN5CCN[C@@H](C)C5)cc4)cc3)nc21
Nc1cc(C(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1 ; CCOCCc1nc(-n2nc([C@@H](O)CN)nc2N)nn1N1CCOCC1
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H](N)Cc4ccc(F)cc4)CC3)c12 ; NCc1c[nH]c2ncnc([C@H]3CC[C@H](N4N=CC(c5ccc(F)cc5)C4=O)CC3)c12
NC(=O)c1ccc(NC2CNCCC2c2cccc(C(F)(F)F)c2)c2cncnc12 ; NC(=O)c1ccc(OC2CNCCC2c2cncc(C(F)(F)F)c2)c2cncnc12
Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1 ; Nc1ncccc1-c1nc2cc(N3CCOCC3)cnc2n1-c1ncc(CNC(=O)n2cccc2)cn1
O=C(Nc1ccccc1)c1ccccc1NC(=O)c1ccccc1C(=O)O ; N=C(N)c1ccccc1C(=O)Nc1cc(C(=O)Nn2cccc2)c[nH]1
NC(=O)c1cn2cc(-c3ncc(N)cn3)nc(N3CCOCC3)c2n1 ; NC(=O)c1cn2cc(-c3ccc(N)nn3)nc2c(N2CCOCC2)n1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN2CCCCC2)CC1 ; CCCCCCOn1nc(N)nc1N1CCCC(c2nc(-c3nc([18F])cn3OC(F)(F)C(F)F)cn2CCN2CCCCC2)C1
CNc1ncnc(C2CCN(n3cc(CCN4CCC4)nc3-c3cc(C(F)(F)F)ccn3)CC2)c1Cl ; CCCNCCc1cn(N2CCC[C@H](c3c(Cl)c(OCCCOC)ncn3)C2)c(-c2cc(OC(F)(F)F)ccn2)n1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(C(C)C)ccn3)cn2CCN2CCC2)CC1 ; CCc1c(N)ncnc1N1C[C@H]2C[C@@]2(c2cc(-c3cc(C(C)C)ccn3)ccc2CCN2CCC2)C1
COC(=O)c1cccc(CC(=O)Nc2cc(=O)[nH]c(N3CCOCC3)n2)c1O ; COC(=O)c1cccc(CCCCC(=O)Nc2cc(=O)[nH]c(C3CCCC3)n2)c1O
CC(=O)Nc1nc(C)c(-c2cnc(S(C)(=O)=O)o2)s1 ; C#CCc1cc(NC(C)=O)nn1-c1cnc(S(C)(=O)=O)o1
CC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1 ; CC(=O)NCc1ccc(Nc2nc3ccccc3n2-c2nn(N)c(C)c2)cc1
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1 ; CCC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cccc(C(F)(F)F)c3)CC2)c1Br ; Nc1ncnc([C@H]2CCCN(c3ccc(-c4cc(C(F)(F)F)cnc4)cc3NCCCN3CCCC3)C2)c1Br
O=c1cnc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1 ; O=c1cnc(-n2cccc2)c(-c2ccc(CSN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cccc(F)c3)CC2)c1C1CCC1 ; CCN(CC)CCc1cc(-c2cc(F)ccc2)ccc1N1CCC(c2c(C3CCC3)c(N)ncn2)CC1
NC(=O)c1ccc(N[C@@H]2CNCC[C@@H]2c2ccc(F)c(Cl)c2)c2cncnc12 ; CC(=O)c1ccc2ncnc(OCC3CCNCC3c3ccc(F)c(Cl)c3)c2c1
NC1(C(CCCc2ccc(Cl)cc2)NC(=O)N2CCOCC2)CCN(c2ncnc3[nH]ccc23)CC1 ; CCCSc1cn(CCCC(NC(=O)N2CCOCC2)[N+]2(N)CCN(c3nc4ccc[nH]c-4n3)CC2)c(=O)[nH]c1=O
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4)c3)cc2s1 ; CC(=O)NCc1nc2ccc(-c3cnc(Cl)c(N(C(C)C)S(=O)(=O)c4ccc(Cl)nc4)c3)cc2s1
NC1(c2ccc(-n3c(-c4cccnc4)nc4ccc(-c5ccccc5)nc43)cc2)CCC1 ; CCN(C(N)=O)c1cn(-n2c(-c3cocc3)nc3ccc(-n4cccc4)nc32)c(=O)[nH]c1=O
COc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1 ; CS(=O)(=O)N1CCN(Cc2cnc(CCCSc3ccc(C4COC4)nc3)c(-c3nc(C#N)nc(N)n3)c2)C1=O
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1 ; CC(C)(c1nc(-c2c(N)sc([C@H](O)CCC3C4CCC3CN(CC(N)=O)C4)n2)cnc1)C(F)(F)F
Nc1ncnc(C2CCN(n3cc(CCN4CCC4)nc3-c3cc(F)ccc3C(F)(F)F)CC2)c1[N+](=O)[O-] ; C[N+](C)=C1C=CC(=Cc2c(C3CCN(n4cc(CCN5CCC5)nc4-c4cc(F)ccc4OC(F)(F)F)CC3)c(C(=O)O)ccc2)C=C1
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2-c2cnc(N)nc2)CC1 ; CCN(CC)Cn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ccc(-c3ccc4c(c3)cnn4CC#N)c(N)c2)CC1
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C2=CCCC2)CC1 ; C#Cc1c(CCCCC)c(N2CCC(c3c4c(ncn3)CO[C@H]4c3cc(CCN(C)C)ccc3[C@@H](F)C(F)(F)F)CC2)ncn1
CN(C)CC(=O)N1CCN(Cc2cn3cc(-c4ncc(N)cn4)nc(N4CCOCC4)c3n2)CC1 ; COCCN(C)c1nc(-c2ncc(N)cn2)cn2cc(CN3CCN(CNC(=O)N(C)C)CC3)nc12
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CC2CCN2)CC1 ; N#CCc1c(C#N)c(N2CCC(c3nc(-c4nc(F)cn4C(F)(F)F)cn3OC3CCCN3)CC2)ncn1
COc1cc(S(=O)(=O)Nc2ccc(C(=O)Nc3ccco3)cc2)nc(OC)n1 ; COn1nc(SC)nc1S(=O)(=O)Nn1cc(C2=CC(=O)N(c3ccco3)C2=O)c(=O)[nH]c1=O
NCC(NC(=O)c1sc(Br)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; NCC(NC(=O)c1c(-c2ccnc3c2cc[nH]3)cc(Br)s1)c1ccccc1
CC(C)(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4C(N)=O)CC3)n2)ccn1 ; CC(C)(C)c1cc(-c2cn(OCN3CCC3)c(C3CCCN(c4cccc(CC(N)=O)c4N)C3)n2)ccn1
Cn1c(Cc2cc(=O)[nH]c(N3CCOCC3)n2)nc2cc(F)ccc21 ; Cn1c(Cc2cc(=O)[nH]c(C3CCCC3)n2)nc2cc(F)ccc21
CC(C)(N)c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1 ; FC(F)c1ccc(-c2nc3ccccc3nc2-n2cccc2)cc1
Cc1cc(-c2nc(CC3CNC3)cn2N2CCC(c3c(N)ncnc3OC(C)C)CC2)ccc1F ; Cc1cc(-c2nc(CC3CNC3)cn2N2CCC(c3c(OC(C)C)ncnc3N)CC2)ccc1F
CN(C)CCCC(NC(=O)N1CCC(N)(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 ; CNc1ccc([C@@H](CCN(C)C)NC(=O)N2CCO[C@@H](c3c(I)n4ccnc4cn3)C2)cn1
COCCN1CCN(c2ccc3nc(Nc4cc(OC)cnc4F)c(-c4nc(C)nc(N)n4)n3c2)CC1 ; COCC[C@H]1CC[C@H](c2cn3c(-c4nc(C)nc(N)n4)c(COc4cc(OC)cnc4F)nc3cc2)CC1
NCC(NC(=O)c1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1 ; NCC(NC(=O)c1nnc(-c2ccnc3c2cc[nH]3)o1)n1cccc1
NC1(c2ccc(-c3c(-c4ccccc4)ccc4ncnn34)cc2)CCC1 ; NC1(c2ccc(-c3c(-n4cccc4)ccc4ncnn34)cc2)CCC1
CN(C)CCNC(=O)c1cn2cc(-c3ncc(N)cn3)nc(N3CCOCC3)c2n1 ; COC(C)c1cn2cc(-c3ccc(CC#N)nn3)nc(N3CCOCC3)c2n1
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(Cl)c(=O)[nH]1 ; CNc1c(N2CCOCC2)nc(CC(=O)N2c3ccccc3C[C@@H]2CN)[nH]c1=O
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc(CO)c2)n1 ; CCNS(=O)(=O)c1cc(N2CCOCC2)nc(-c2cccc(CCO)c2)n1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccccc1OCCN1CCCCC1 ; COCCN(C)c1cc2c(cn1)[nH]nc2C(=O)N[C@H](CN)Cc1ccccc1CCCNCN1CCCCC1
Nc1cc(N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCN3CCC3)CC2)ncn1 ; Nc1cc(N2CCC(c3nc(-c4cc(F)ccc4OC(F)(F)C(F)F)cn3NCN3CCC3)CC2)ncn1
Cc1ccccc1[C@H]1CCCN1C(=O)c1ccc(O)cc1O ; Nc1ccccc1[C@H]1CCCN1C(=O)c1ncc(Cl)cc1S
Nc1ncnc(C2CCN(n3cc(CC4CNC4)nc3-c3cc(F)ccc3C(F)(F)F)CC2)c1Cl ; CCCNc1ccc(OC(F)(F)F)c(-c2nc(CCCNC)cn2N2CCC(c3c(NC)c(N)ncn3)CC2)c1
CN(C)CCC(NC(=O)N1CCC(N)(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 ; CNc1ccc(N(C)CCCCNC(=O)N2CCC(c3c(I)n4ccnc4cn3)CC2)cc1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccc(F)cc3o2)[nH]1 ; O=c1cc(C2CCCC2)nc(Cc2nc3ccc([18F])cc3o2)[nH]1
CCOc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CC2CNC2)CC1 ; CCOc1c(N)ncnc1N1CCCC(c2cc(-c3cc([18F])ccc3C(F)(F)F)ccc2OC2CNC2)C1
CCOc1c(N)ncnc1N1CCC(c2nc(-c3cc(C(F)(F)F)ccn3)cn2CCN2CCC2)CC1 ; C#Cc1c(OCC)c(N2CCC(c3cc(-c4cc(OC(F)(F)C(F)F)ccn4)ccc3CCNCCC)CC2)ncn1
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1 ; C[C@H]1OCCc2cc([C@@H](O)c3nc(N4CCOCC4)cc(=O)[nH]3)ccc21
CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1 ; CCOCCc1nc(N2CCOCC2)nc(-c2ccc(NC(=O)Nc3ccc([C@H](O)C4CC(Br)C4)cc3)cc2)n1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cccc(C(F)(F)F)c3)cn2CCN2CCCC2)CC1 ; C#Cc1c(C(N)=O)cnn1N1C[C@H]2C[C@@]2(c2nc(-c3cc(OC(F)(F)C(F)F)ccc3)cn2CCN2CCCC2)C1
Nc1cc(CF)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1 ; CCOCCc1cc(-n2nc(CF)nc2N)nn1N(C)CCOC
CN(C)CCNC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1 ; CCN(CC)CCNC(=O)c1ccc(OCc2nccc(Nc3cccnc3NC)n2)cc1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCN(C)C)cc4)cc3)nc21 ; CCNc1ccc2nc(N3CCOCC3)n(-c3ccc(C(=O)Nc4ccc(NC(=O)NCCN(C)C)cc4)cc3)c2n1
C[C@@H]1OCc2ncnc(N3CCN(C(=O)C(Cc4ccc(Cl)c(F)c4)CC(C)(C)N)CC3)c21 ; CC(C)(N)CC(Cc1ccc(Cl)c([18F])c1)C(=O)N1CCN(c2c3c(ncn2)CSC3N)CC1
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)cc3)cn2CCN2CCCC2)CC1 ; C#Cc1c([N+](=O)[O-])c(N2C[C@H]3C[C@@]3(c3nc(-n4cc(F)c(=O)[nH]c4=O)cn3CCN3CCCC3)C2)ncn1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)cc1Br ; COCCN(C)c1nc(C(=O)N[C@H](CN)Cc2ncc(F)cc2CF)cc(=O)[nH]1
C[C@@H]1SCc2ncnc(N3CCN(C(=O)C(Cc4ccc(Cl)cc4)CN4CCCC4)CC3)c21 ; CCN(CC)CC(Cc1ccc(OCCOC)cc1)C(=O)N1CCN(c2c3c(ncn2)CS[C@H]3C)CC1
CNC(=O)c1nc(-c2cc(Cl)ccc2NS(=O)(=O)c2cccc(C)c2)cnc1N ; CNC(=O)c1nc(-c2cc(Cl)ccc2NS(=O)(=O)c2cc(C)ccc2)cnc1N
