Modified,Initial,Delta
7.2894588,6.165435,1.1240239
7.2387247,6.1202955,1.1184292
7.5912085,6.5241566,1.0670519
7.331008,6.2733045,1.0577035
7.342179,6.326985,1.0151939
7.0982056,6.092003,1.0062027
7.0724854,6.203116,0.8693695
7.077091,6.2110167,0.86607456
7.0479302,6.19266,0.8552704
7.4092264,6.5977974,0.811429
7.33789,6.5466433,0.7912469
7.389746,6.601289,0.7884574
7.141302,6.359996,0.78130627
7.035301,6.2541924,0.78110886
7.1903415,6.414283,0.7760587
7.1070747,6.3372855,0.7697892
7.0914083,6.3292975,0.7621107
7.015884,6.256968,0.7589159
7.0708823,6.318065,0.75281715
7.342179,6.594072,0.74810696
7.178657,6.4314857,0.7471714
7.2635655,6.5316114,0.7319541
7.103035,6.380105,0.72292995
7.1989236,6.496,0.7029238
7.1634007,6.479842,0.68355846
7.3550367,6.700513,0.65452385
7.2909474,6.665605,0.62534237
7.1395288,6.5160103,0.62351847
7.1395288,6.5160103,0.62351847
7.0997987,6.477188,0.62261057
7.359923,6.742174,0.61774874
7.062607,6.4470425,0.61556435
7.0258975,6.411653,0.61424446
7.343933,6.7329054,0.6110277
7.010157,6.4030986,0.6070585
7.1033335,6.5008492,0.6024842
7.417466,6.8193793,0.59808683
7.2066827,6.6088214,0.5978613
7.0736856,6.4810853,0.59260035
7.184353,6.600606,0.5837469
7.289061,6.709605,0.57945585
7.174613,6.5956097,0.57900333
7.247823,6.671932,0.575891
7.0516815,6.4770546,0.5746269
7.1049867,6.5350227,0.56996393
7.469705,6.900958,0.56874704
7.0973077,6.5330153,0.56429243
7.0259995,6.46707,0.55892944
7.0303154,6.4774027,0.5529127
7.0947127,6.547474,0.5472388
7.1076713,6.5697675,0.5379038
7.0611377,6.5279174,0.5332203
7.435505,6.9064116,0.52909327
7.2350245,6.712783,0.5222416
7.3996353,6.886871,0.51276445
7.1501784,6.643758,0.5064206
7.000631,6.4946303,0.5060005
7.2922044,6.7913675,0.50083685
7.096267,6.6134534,0.48281384
7.3273273,6.8452015,0.48212576
7.041539,6.563166,0.47837305
7.287881,6.8095922,0.47828865
7.106157,6.631616,0.4745407
7.323474,6.8537564,0.4697175
7.04105,6.573189,0.46786118
7.064532,6.6005445,0.46398735
7.193446,6.7325716,0.46087456
7.4148445,6.9545774,0.46026707
7.090477,6.6316695,0.45880747
7.179066,6.7286315,0.45043468
7.113473,6.668114,0.44535875
7.2688713,6.836656,0.4322152
7.0556602,6.628,0.42766047
7.03977,6.613329,0.4264412
7.253576,6.828269,0.4253068
7.239604,6.827169,0.41243505
7.1892815,6.7771544,0.41212702
7.130791,6.721577,0.40921402
7.148806,6.741373,0.40743303
7.133995,6.733708,0.40028715
7.0204954,6.641265,0.3792305
7.1438975,6.7895765,0.354321
7.034624,6.681589,0.35303497
7.183836,6.8316545,0.35218143
7.1262627,6.7764635,0.34979916
7.1107416,6.7653365,0.3454051
7.201928,6.859472,0.34245634
7.239941,6.8980417,0.3418994
7.0739985,6.7338963,0.3401022
7.0563817,6.7244577,0.33192396
7.127278,6.7990975,0.3281803
7.0996904,6.774285,0.3254056
7.0870943,6.762076,0.3250184
7.1143136,6.7930884,0.32122517
7.1923943,6.8715568,0.3208375
7.1163397,6.7973332,0.31900644
7.18301,6.8665957,0.31641436
7.1012697,6.787899,0.3133707
7.029125,6.7181973,0.31092787
7.293035,6.9879565,0.3050785
7.1744013,6.870878,0.30352306
7.121603,6.81939,0.3022132
7.153732,6.853111,0.30062103
7.098686,6.802225,0.2964611
7.0632377,6.768122,0.29511547
7.0109167,6.718217,0.2926998
7.2234006,6.930903,0.29249763
7.020071,6.7305217,0.28954935
7.0516763,6.7670474,0.28462887
7.147326,6.866268,0.28105783
7.054454,6.7740335,0.2804203
7.255399,6.9895124,0.26588678
7.102665,6.8400955,0.26256943
7.009527,6.7541165,0.25541067
7.018753,6.7674046,0.2513485
7.021957,6.771312,0.25064468
7.054957,6.811394,0.2435627
7.078641,6.835958,0.24268293
7.1641364,6.927851,0.23628521
7.166476,6.9368935,0.22958231
7.0648026,6.852197,0.21260548
7.185313,6.978199,0.20711422
7.1246796,6.926873,0.19780636
7.0099773,6.820464,0.1895132
7.0761714,6.892784,0.18338728
7.076851,6.917897,0.15895367
7.064825,6.9059763,0.15884876
7.0903325,6.93718,0.15315247
7.121446,6.97401,0.14743614
7.0300403,6.8850055,0.14503479
7.0870748,6.9482822,0.13879251
7.0399866,6.904668,0.13531876
7.06398,6.9364643,0.1275158
7.0246773,6.9009266,0.12375069
7.0896626,6.978877,0.110785484
7.0852284,6.983345,0.10188341
7.0595326,6.9638104,0.0957222
7.0497203,6.970901,0.078819275
7.0125003,6.95494,0.057560444
7.0384603,6.9860115,0.05244875
7.0109925,6.969002,0.041990757
7.003349,6.962502,0.040846825
