Initial molecule ; Modified molecule
CCn1nc(N2CCC(C(=O)CCO)CC2)nc1-c1cnc(N)c(-c2nnc(C(C)(C)C)o2)n1 ; CN(C)n1nc(N2C[C@H]3C[C@]3(C(=O)CCO)C2)nc1-c1cnc(CC#N)c(-c2nnc(C(C)(C)N)o2)n1
COc1ccc(C[C@@H](CN)NC(=O)c2cc(Br)c(-c3ccnc4[nH]ccc34)s2)cc1 ; COCOC(Cc1ccc[nH]1)c1cc([N+](=O)[O-])c(-c2ccnc3c2cc[nH]3)s1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cccc(Br)c1O ; COCCN(C)c1cc2c(cn1)[nH]nc2CC(=O)Nc1cccc([N+](=O)[O-])c1S
Cc1cc(-c2nc(CCN3CCC3)cn2N2CCC(c3c(N)ncnc3C#N)CC2)ccc1F ; Cc1cc(-c2nc(CC[18F])cn2N2CCC(c3c([11C]#N)ncnc3C)CC2)ncc1[18F]
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccccc3F)cn2CCN2CCC2)CC1 ; C#Cc1c(C#N)cnn1N1CCC(c2cc(-c3ccccc3OCCOCCF)ccc2CCN2CCC2)CC1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3F)cn2CCN2CCC23COC3)CC1 ; CCc1c(CC#N)ncnc1N1CCCC(c2cc(-c3cc(F)ccc3OCCOCCF)ccc2NCN2CCCOCC2)C1
Nc1ccc(C#Cc2n[nH]c3ccccc23)cc1 ; N#CCc1ncc(C#Cc2n[nH]c3ccccc23)cn1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cc(F)ccc3F)CC2)c1C1CCC1 ; CCCCc1c(C2CCN(c3ccc(-c4cc(F)ccc4F)cc3CCN3CCCC3)CC2)c(N)ccc1
C[C@@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(Cl)c(=O)[nH]1 ; CNc1c(N2CCOCC2)nc(CC(=O)c2ccc3CC[C@H](C)Oc3c2)[nH]c1=O
N[C@H](COc1cncc(C2C(=O)Nc3ccc(-c4ccc[nH]4)cc32)c1)Cc1c[nH]c2ccccc12 ; C[C@H](CCc1cc(N2CCc3cc(-c4ccc[nH]4)ccc32)cnc1)Cc1cccc2c1[nH]cc2
CC(=O)Nc1cc(Nc2cnn3c(C#N)cc(Nn4ccc(C)n4)nc23)ccc1C ; CC(=O)Nc1cc(Nn2c(NCn3cc(C#N)cn3)nc3cc(C#N)cnc32)ncc1CN
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1 ; Cc1c(-c2ccnc(C(N)CC(F)(F)F)c2)sc(C(=O)NC2C3CCC2CN(CC(N)=O)C3)n1
Cc1nc(N)nc(-c2cc(C(C)(C)O)cnc2Nc2cncc(S(=O)(=O)c3ccccc3)c2)n1 ; Cc1nc(N)nc(-c2cc(C(C)(C)O)cnc2Nc2cncc(S(=O)(=O)n3cccc3)c2)n1
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1 ; C#Cc1ncc(-c2cn3cc(NC(=O)CC)nc3cc2)cc1CC(F)(F)F
N[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3c2CSC3)CC1 ; CCCSc1cn(C(CC)(C(=O)N(C)C)N2CCN[C@@H](c3ncnc4c3CSC4)C2)c(=O)[nH]c1=O
