Initial,Modified,Delta
6.360976,7.8021274,1.4411514
6.230502,7.5966353,1.3661333
5.551193,6.7398615,1.1886685
6.549068,7.7232995,1.1742315
5.859008,6.8148913,0.9558833
5.5192575,6.449692,0.9304345
5.6863427,6.599203,0.9128603
5.1373396,6.0449977,0.9076581
6.3063664,7.193959,0.8875926
5.387306,6.257299,0.869993
6.1095877,6.9485083,0.8389206
6.040789,6.86994,0.829151
6.1693435,6.9888673,0.8195238
6.3090324,7.110119,0.8010866
5.881127,6.6719017,0.7907747
6.3145995,7.0975623,0.7829628
6.0183444,6.7786555,0.7603111
6.386305,7.1461935,0.7598885
6.449509,7.206828,0.757319
6.273103,7.0203137,0.7472107
6.9097605,7.641014,0.7312535
6.3870444,7.1162796,0.7292352
5.6863427,6.4090214,0.7226787
6.4903283,7.200607,0.7102787
6.216084,6.926145,0.710061
6.378915,7.078177,0.699262
6.248418,6.9445834,0.6961654
6.405154,7.0958705,0.6907165
6.4340906,7.123119,0.6890284
6.714213,7.400489,0.686276
6.188016,6.8704658,0.6824498
6.248742,6.930784,0.682042
6.295943,6.9762306,0.6802876
6.773681,7.4519205,0.6782395
5.230672,5.90877,0.678098
5.835781,6.505823,0.670042
6.431068,7.0994635,0.6683955
6.2750344,6.9299088,0.6548744
6.9172444,7.569253,0.6520086
6.4132156,7.0647182,0.6515026
6.3469405,6.9962273,0.6492868
6.3437095,6.99283,0.6491205
6.369398,7.0168524,0.6474544
6.3566985,7.002827,0.6461285
6.3956394,7.0406327,0.6449933
7.1678343,7.8108974,0.6430631
6.752875,7.381696,0.628821
6.9113727,7.5370016,0.6256289
7.044675,7.664835,0.62016
6.1189356,6.7250752,0.6061396
5.892126,6.4969144,0.6047884
6.5259557,7.1287217,0.602766
6.7586107,7.3573275,0.5987168
5.957511,6.554222,0.596711
6.600892,7.196546,0.595654
5.789453,6.3840103,0.5945573
6.3894396,6.9833455,0.5939059
6.4796467,7.0715475,0.5919008
5.925297,6.5125046,0.5872076
6.469378,7.052085,0.582707
7.007247,7.589083,0.581836
5.8781195,6.458656,0.5805365
6.287935,6.8657255,0.5777905
7.029209,7.605199,0.57599
6.1236124,6.697685,0.5740726
6.081386,6.65437,0.572984
6.9137993,7.483029,0.5692297
6.6069975,7.1751804,0.5681829
5.906885,6.474631,0.567746
6.3088226,6.873126,0.5643034
7.0677466,7.6312943,0.5635477
5.2286,5.791066,0.562466
5.9547486,6.515021,0.5602724
6.68783,7.247529,0.559699
6.674561,7.2330523,0.5584913
6.899864,7.4550705,0.5552065
7.080416,7.635596,0.55518
5.920871,6.4724507,0.5515797
6.70862,7.2586384,0.5500184
6.3091583,6.8525963,0.543438
5.7033577,6.2427425,0.5393848
6.2664266,6.7884345,0.5220079
7.3298483,7.8390946,0.5092463
6.7167673,7.2218027,0.5050354
5.4248614,5.926937,0.5020756
6.7722216,7.2734213,0.5011997
6.4405503,6.9397683,0.499218
5.4708548,5.9677315,0.4968767
6.3497725,6.8438735,0.494101
6.7060122,7.1925077,0.4864955
6.2721143,6.752803,0.4806887
6.828072,7.3080463,0.4799743
6.0159874,6.495928,0.4799406
6.7534575,7.2319565,0.478499
6.5823803,7.0604563,0.478076
6.270121,6.745367,0.475246
6.0175624,6.491941,0.4743786
7.1685367,7.6329827,0.464446
6.5171485,6.9803452,0.4631967
6.4458,6.9088554,0.4630554
6.741824,7.1991277,0.4573037
6.390895,6.845921,0.455026
6.2507954,6.703004,0.4522086
6.5606446,7.0099564,0.4493118
6.966007,7.4151897,0.4491827
6.435828,6.8836384,0.4478104
5.3949575,5.840539,0.4455815
5.658601,6.1023374,0.4437364
6.285258,6.728929,0.443671
6.442753,6.882423,0.43967
5.53392,5.9720454,0.4381254
6.550305,6.9863605,0.4360555
5.6113234,6.045693,0.4343696
6.6662107,7.0985136,0.4323029
6.273032,6.7020054,0.4289734
6.410429,6.839121,0.428692
5.6338563,6.0624747,0.4286184
6.950025,7.376537,0.426512
6.7858415,7.2122808,0.4264393
5.738197,6.163872,0.425675
6.8446236,7.26966,0.4250364
6.708624,7.1335797,0.4249557
6.677496,7.1023164,0.4248204
6.555702,6.977973,0.422271
5.6412153,6.062632,0.4214167
6.6640925,7.084951,0.4208585
7.114494,7.5335817,0.4190877
6.432343,6.8466067,0.4142637
5.432485,5.8441634,0.4116784
6.390856,6.801401,0.410545
6.511276,6.9189143,0.4076383
6.4158587,6.818074,0.4022153
5.653347,6.054754,0.401407
6.636427,7.034976,0.398549
6.563319,6.9618416,0.3985226
6.511825,6.9100676,0.3982426
6.568225,6.961237,0.393012
6.3136706,6.706286,0.3926154
6.7544894,7.1414437,0.3869543
6.1722174,6.558454,0.3862366
5.7960443,6.181751,0.3857067
6.3516455,6.735876,0.3842305
6.3516455,6.735876,0.3842305
6.914623,7.2982993,0.3836763
5.769289,6.1508927,0.3816037
6.7437153,7.124157,0.3804417
6.267879,6.6472044,0.3793254
6.9819393,7.3571496,0.3752103
6.4485464,6.823681,0.3751346
6.2688584,6.6427965,0.3739381
6.639487,7.0125246,0.3730376
5.5757747,5.9485106,0.3727359
6.840209,7.2118382,0.3716292
5.9258213,6.295069,0.3692477
6.5542727,6.923435,0.3691623
7.0186214,7.3861814,0.36756
5.5989065,5.9659004,0.3669939
7.0849667,7.448486,0.3635193
6.479142,6.841057,0.361915
5.5670757,5.9256835,0.3586078
6.150801,6.5077963,0.3569953
5.409606,5.766598,0.356992
6.9978957,7.354151,0.3562553
6.352992,6.708798,0.355806
6.1023073,6.4542284,0.3519211
6.770279,7.121813,0.351534
6.5119295,6.858994,0.3470645
6.2286263,6.568747,0.3401207
6.708462,7.047184,0.338722
6.357247,6.6954155,0.3381685
6.528924,6.8632627,0.3343387
6.160211,6.49351,0.333299
5.5075235,5.8389287,0.3314052
6.284011,6.6146045,0.3305935
7.062047,7.39233,0.330283
6.2609363,6.591037,0.3301007
6.091336,6.4209104,0.3295744
7.1283693,7.4568253,0.328456
6.191711,6.5175714,0.3258604
5.86699,6.1927876,0.3257976
6.297798,6.6224704,0.3246724
6.2907305,6.6119914,0.3212609
5.8927045,6.2136674,0.3209629
7.1725197,7.4934773,0.3209576
6.547637,6.866594,0.318957
5.8551254,6.1728196,0.3176942
6.4059014,6.7204857,0.3145843
6.5487347,6.862994,0.3142593
6.9261513,7.2369533,0.310802
6.5876637,6.8979573,0.3102936
6.2493706,6.559386,0.3100154
5.832259,6.1418777,0.3096187
6.3223863,6.630662,0.3082757
6.316161,6.621717,0.305556
5.5966773,5.901646,0.3049687
5.3485827,5.6534452,0.3048625
7.2172966,7.5211496,0.303853
6.7070656,7.0082817,0.3012161
5.3139195,5.612231,0.2983115
6.203325,6.5014277,0.2981027
7.133269,7.4304395,0.2971705
7.1802745,7.476363,0.2960885
6.406752,6.70231,0.295558
6.700366,6.9954677,0.2951017
6.3071957,6.6013856,0.2941899
6.8047457,7.097365,0.2926193
6.807311,7.09833,0.291019
6.8089156,7.0969076,0.287992
6.6740656,6.9615173,0.2874517
6.465688,6.7526956,0.2870076
7.082462,7.369322,0.28686
7.1691766,7.4521675,0.2829909
6.564681,6.8473163,0.2826353
6.772473,7.054614,0.282141
7.044762,7.326626,0.281864
6.9111447,7.190874,0.2797293
6.796287,7.074423,0.278136
6.881798,7.1598983,0.2781003
7.1014457,7.379389,0.2779433
6.95366,7.2310886,0.2774286
6.3669987,6.6420903,0.2750916
6.3620157,6.635116,0.2731003
7.297204,7.5678205,0.2706165
6.07747,6.3475056,0.2700356
7.1340017,7.4031367,0.269135
5.732308,6.0009193,0.2686113
7.3122296,7.5803413,0.2681117
7.161846,7.4294605,0.2676145
6.6744905,6.940002,0.2655115
6.698864,6.96407,0.265206
6.971484,7.2349052,0.2634212
6.1532226,6.415524,0.2623014
6.705328,6.9671187,0.2617907
7.2840676,7.543442,0.2593744
6.786041,7.0453973,0.2593563
6.5869327,6.8453407,0.258408
6.8685226,7.124157,0.2556344
5.8285604,6.0833244,0.254764
7.1835227,7.4381866,0.2546639
6.285258,6.538943,0.253685
6.285258,6.538943,0.253685
7.1624393,7.415696,0.2532567
7.3848143,7.637407,0.2525927
6.5362296,6.788747,0.2525174
6.4878187,6.7389,0.2510813
6.600818,6.8493743,0.2485563
6.0614295,6.3094263,0.2479968
6.002455,6.2498055,0.2473505
6.002455,6.2498055,0.2473505
6.002455,6.2498055,0.2473505
7.0400047,7.2872925,0.2472878
6.9267044,7.173462,0.2467576
6.3302784,6.5770297,0.2467513
6.875269,7.121813,0.246544
6.7189307,6.962883,0.2439523
6.6161113,6.8598056,0.2436943
5.714962,5.9586153,0.2436533
6.202226,6.4419594,0.2397334
6.202226,6.4419594,0.2397334
5.535406,5.7741675,0.2387615
5.751323,5.988495,0.237172
6.1511536,6.3869805,0.2358269
6.147173,6.3829923,0.2358193
7.0448446,7.2795973,0.2347527
6.7118692,6.944565,0.2326958
6.2554183,6.486275,0.2308567
5.2969604,5.5266175,0.2296571
7.003947,7.2332892,0.2293422
7.0284705,7.2577806,0.2293101
6.82848,7.056499,0.228019
7.199632,7.425826,0.226194
7.352209,7.577526,0.225317
6.31455,6.538488,0.223938
7.1470313,7.370393,0.2233617
6.618224,6.839832,0.221608
6.361954,6.5801783,0.2182243
6.485123,6.7025666,0.2174436
6.225165,6.4418864,0.2167214
6.442992,6.6560817,0.2130897
6.9158063,7.1275754,0.2117691
7.2554693,7.465727,0.2102577
6.806053,7.0134954,0.2074424
5.6893444,5.895463,0.2061186
6.9329615,7.138676,0.2057145
6.669648,6.8752427,0.2055947
6.148442,6.3538,0.205358
6.696529,6.901097,0.204568
6.935689,7.139776,0.204087
6.4910946,6.6943774,0.2032828
7.0213437,7.223075,0.2017313
5.959154,6.1600323,0.2008783
5.7649646,5.9649677,0.2000031
6.1212454,6.319707,0.1984616
6.824325,7.021979,0.197654
6.783818,6.978514,0.194696
6.522742,6.715674,0.192932
7.2089233,7.4007006,0.1917773
7.520409,7.711714,0.191305
6.827894,7.018307,0.190413
6.6997533,6.889143,0.1893897
6.8792887,7.066828,0.1875393
6.558524,6.745959,0.187435
6.0288415,6.2162695,0.187428
7.1765323,7.363804,0.1872717
6.9037333,7.0902615,0.1865282
6.3247437,6.509944,0.1852003
6.7794533,6.962969,0.1835157
