Modified,Initial,Delta
7.287881,6.2457213,1.0421596
7.191944,6.34393,0.84801435
7.274815,6.457679,0.8171363
7.264195,6.4515,0.812695
7.4139285,6.7358165,0.67811203
7.4092264,6.7554526,0.6537738
7.3298483,6.7579412,0.57190704
7.3996353,6.844121,0.55551434
7.389746,6.8469124,0.5428338
7.352676,6.8755946,0.4770813
7.2602735,6.783396,0.4768777
7.342179,6.8665767,0.47560215
7.342179,6.8665767,0.47560215
7.342179,6.8665767,0.47560215
7.0947127,6.6258984,0.46881437
7.293035,6.838955,0.4540801
7.201928,6.8093224,0.39260578
7.0402536,6.650889,0.38936472
7.2909474,6.9063163,0.38463116
7.2909474,6.9063163,0.38463116
7.2909474,6.9063163,0.38463116
7.1395288,6.7551746,0.3843541
7.1395288,6.7551746,0.3843541
7.0157633,6.6367774,0.37898588
7.1163397,6.7398148,0.37652493
7.1163397,6.7398148,0.37652493
7.1163397,6.7398148,0.37652493
7.2894588,6.9407973,0.34866142
7.1484785,6.8089404,0.3395381
7.297204,6.9763703,0.32083368
7.0269923,6.710604,0.31638813
7.121446,6.8083215,0.31312466
7.223981,6.9221497,0.30183125
7.184353,6.882993,0.30135965
7.1033335,6.8193555,0.283978
7.0903325,6.812314,0.27801847
7.106157,6.841667,0.26448965
7.17828,6.9202847,0.25799513
7.113075,6.8571444,0.25593042
7.1070747,6.8551593,0.25191545
7.0098734,6.76144,0.24843359
7.0327373,6.788029,0.24470806
7.0563817,6.817329,0.23905277
7.133995,6.9149046,0.21909046
7.1438975,6.9283705,0.21552706
7.113473,6.9011273,0.2123456
7.1075006,6.9189386,0.18856192
7.090477,6.9059205,0.18455648
7.064825,6.8837795,0.18104553
7.0837855,6.9031954,0.18059015
7.16948,6.995714,0.17376566
7.121603,6.9736147,0.14798832
7.112487,6.96568,0.14680672
7.096267,6.95873,0.137537
7.003349,6.8718805,0.1314683
7.0479302,6.925967,0.121963024
7.044675,6.92574,0.11893511
7.087524,6.969069,0.11845493
7.0870943,6.9818597,0.10523462
7.0516815,6.9848895,0.06679201
7.0137167,6.9524927,0.061223984
7.0204954,6.967824,0.052671432
7.019168,6.9874716,0.03169632
