Initial,Modified,Delta
5.551193,6.8633804,1.3121874
6.786041,7.871744,1.085703
6.3063664,7.389768,1.0834016
6.850374,7.847106,0.996732
6.040789,7.008069,0.96728
6.3090324,7.2662582,0.9572258
5.206615,6.1044517,0.8978367
6.188016,7.0651946,0.8771786
6.7167673,7.5755143,0.858747
5.859008,6.712999,0.853991
5.892126,6.744758,0.852632
6.70862,7.5557985,0.8471785
6.405154,7.243839,0.838685
6.9097605,7.7461314,0.8363709
6.4132156,7.2383084,0.8250928
6.3956394,7.2110405,0.8154011
6.1095877,6.9147744,0.8051867
6.714213,7.5116487,0.7974357
6.559221,7.3340735,0.7748525
5.9547486,6.708931,0.7541824
5.2286,5.976838,0.748238
5.5075235,6.2514787,0.7439552
6.216084,6.9587073,0.7426233
6.0183444,6.7508345,0.7324901
5.209221,5.935457,0.726236
6.0614295,6.781047,0.7196175
6.435828,7.152278,0.71645
7.0284705,7.744556,0.7160855
6.4878187,7.20267,0.7148513
5.957511,6.672358,0.714847
6.8169904,7.5257215,0.7087311
6.378915,7.078177,0.699262
6.230502,6.925818,0.695316
6.1189356,6.810703,0.6917674
5.881127,6.570285,0.689158
6.650485,7.3345675,0.6840825
7.183836,7.8650184,0.6811824
6.9267044,7.602891,0.6761866
7.0677466,7.731268,0.6635214
6.4458,7.106249,0.660449
6.0175624,6.6775594,0.659997
6.8446236,7.501391,0.6567674
6.9172444,7.5733285,0.6560841
7.082462,7.729694,0.647232
6.442992,7.089296,0.646304
6.273103,6.9080257,0.6349227
6.6356297,7.269299,0.6336693
6.248418,6.881041,0.632623
6.2750344,6.87778,0.6027456
6.5606446,7.1545806,0.593936
6.3088226,6.9000745,0.5912519
6.287935,6.8761067,0.5881717
6.6744905,7.26028,0.5857895
6.534654,7.1173644,0.5827104
6.3145995,6.882896,0.5682965
6.9184895,7.486362,0.5678725
6.5991964,7.1631436,0.5639472
6.3437095,6.8934364,0.5497269
6.950025,7.4910855,0.5410605
6.5876093,7.1247454,0.5371361
5.7298574,6.264155,0.5342976
6.5744963,7.0997157,0.5252194
6.899864,7.424291,0.524427
6.191711,6.716073,0.524362
7.066723,7.586628,0.519905
6.8932633,7.395247,0.5019837
6.9261804,7.4275594,0.501379
6.773681,7.275054,0.501373
6.604865,7.1004386,0.4955736
6.550305,7.045817,0.495512
6.4340906,6.921264,0.4871734
6.4174433,6.899878,0.4824347
6.760592,7.2416534,0.4810614
6.760091,7.2384186,0.4783276
6.369398,6.844119,0.474721
6.9978957,7.471854,0.4739583
6.752875,7.2237787,0.4709037
6.758462,7.2275114,0.4690494
6.8214393,7.289654,0.4682147
6.916765,7.3823166,0.4655516
6.427186,6.8910413,0.4638553
5.7198863,6.180125,0.4602387
6.295943,6.7559996,0.4600566
6.653037,7.113039,0.460002
6.836378,7.295736,0.459358
6.3870444,6.845283,0.4582386
5.5670757,6.0248933,0.4578176
7.3192873,7.773593,0.4543057
6.1236124,6.573911,0.4502986
7.5580573,8.005135,0.4470777
6.9819393,7.4285984,0.4466591
6.3497725,6.7944884,0.4447159
5.95894,6.403174,0.444234
6.549068,6.9825716,0.4335036
6.511825,6.9332833,0.4214583
5.9363427,6.3574076,0.4210649
7.076267,7.4969125,0.4206455
6.631493,7.049604,0.418111
7.080416,7.4931755,0.4127595
6.563319,6.9721713,0.4088523
6.6038117,7.011989,0.4081773
6.273032,6.6802163,0.4071843
6.2344923,6.638313,0.4038207
6.2326345,6.634396,0.4017615
7.0689893,7.4586873,0.389698
6.449509,6.836359,0.38685
6.3894396,6.7759576,0.386518
5.906885,6.291538,0.384653
6.5119295,6.888605,0.3766755
6.659975,7.029891,0.369916
6.9674473,7.3352847,0.3678374
6.3516455,6.714088,0.3624425
6.3516455,6.714088,0.3624425
6.9839005,7.3455935,0.361693
6.9137993,7.2736936,0.3598943
6.7144256,7.073196,0.3587704
7.1687756,7.526533,0.3577574
6.769312,7.121164,0.351852
6.9313493,7.2795467,0.3481974
6.068747,6.41676,0.348013
6.8536205,7.197985,0.3443645
6.4795175,6.819655,0.3401375
7.0240045,7.3639755,0.339971
7.2046804,7.538141,0.3334606
6.728358,7.0610347,0.3326767
7.161846,7.493859,0.332013
6.95366,7.282939,0.329279
6.7204514,7.0488896,0.3284382
6.322778,6.6490803,0.3263023
6.6411753,6.964548,0.3233727
6.189297,6.510358,0.321061
6.840209,7.1498666,0.3096576
5.6338563,5.943181,0.3093247
7.036077,7.343535,0.307458
6.82848,7.135105,0.306625
6.570969,6.870187,0.299218
6.6261883,6.922387,0.2961987
6.2911015,6.586255,0.2951535
6.2425504,6.5370607,0.2945103
6.9681125,7.257527,0.2894145
7.044762,7.333892,0.28913
6.807311,7.092425,0.285114
6.961896,7.24607,0.284174
7.097399,7.3784676,0.2810686
6.8065047,7.08685,0.2803453
6.267879,6.5383477,0.2704687
5.6412153,5.911117,0.2699017
6.078976,6.3486443,0.2696683
6.873273,7.1405354,0.2672624
6.113194,6.376049,0.262855
6.783818,7.04159,0.257772
6.4229097,6.6805778,0.2576681
6.1090856,6.363575,0.2544894
6.669035,6.922778,0.253743
7.0399866,7.2922144,0.2522278
6.7630205,7.0144124,0.2513919
6.9492707,7.200121,0.2508503
6.1078644,6.356478,0.2486136
7.0109925,7.256667,0.2456745
6.674561,6.9189405,0.2443795
6.564681,6.808492,0.243811
6.5080256,6.7504535,0.2424279
5.9716706,6.213146,0.2414754
6.248742,6.4871774,0.2384354
6.379545,6.617087,0.237542
7.060794,7.2934833,0.2326893
7.1583896,7.389113,0.2307234
6.8717337,7.0976,0.2258663
7.076851,7.301197,0.224346
6.6193995,6.8424687,0.2230692
6.6193995,6.8424687,0.2230692
6.6193995,6.8424687,0.2230692
6.1140213,6.336415,0.2223937
6.1284637,6.349497,0.2210333
7.015884,7.236393,0.220509
6.935689,7.1542406,0.2185516
5.452267,5.669709,0.217442
6.619524,6.8326197,0.2130957
6.707544,6.9188952,0.2113512
6.8808665,7.090817,0.2099505
6.5119867,6.720273,0.2082863
6.8685226,7.0759945,0.2074719
6.819641,7.0253277,0.2056867
7.2703085,7.4748683,0.2045598
7.059758,7.2621746,0.2024166
6.067791,6.269798,0.202007
6.582622,6.7803073,0.1976853
6.932103,7.1275215,0.1954185
6.347703,6.542364,0.194661
6.43626,6.6274905,0.1912305
7.018753,7.2051578,0.1864048
7.4254947,7.61129,0.1857953
6.8021383,6.982733,0.1805947
6.5409536,6.720468,0.1795144
6.608668,6.7867985,0.1781305
6.966744,7.141287,0.174543
6.7118692,6.885911,0.1740418
7.227792,7.401036,0.173244
6.916515,7.089103,0.172588
6.5823803,6.754398,0.1720177
6.413088,6.578539,0.165451
7.010157,7.1698785,0.1597215
6.813196,6.97263,0.159434
6.500668,6.6586876,0.1580196
7.1422777,7.2976236,0.1553459
6.700366,6.855359,0.154993
7.077091,7.231588,0.154497
6.60859,6.761682,0.153092
6.9261513,7.0789604,0.1528091
6.386724,6.5392523,0.1525283
7.417466,7.569839,0.152373
6.696529,6.848643,0.152114
6.1415405,6.292542,0.1510015
7.0595326,7.208756,0.1492234
6.9886456,7.135817,0.1471714
5.694747,5.840087,0.14534
6.934745,7.07765,0.142905
5.9036775,6.0450783,0.1414008
5.832259,5.97323,0.140971
6.283119,6.423193,0.140074
7.6722436,7.8120785,0.1398349
5.8927045,6.0322156,0.1395111
5.5065784,5.6459427,0.1393643
6.6176143,6.755123,0.1375087
6.7437153,6.8800535,0.1363382
6.9282937,7.0625916,0.1342979
7.04105,7.1721606,0.1311106
7.3639503,7.4943166,0.1303663
6.9042654,7.0342703,0.1300049
7.1641364,7.29403,0.1298936
7.1691766,7.298818,0.1296414
7.0256443,7.155235,0.1295907
6.5864835,6.713707,0.1272235
7.0125003,7.13851,0.1260097
7.4103546,7.5357275,0.1253729
6.1023073,6.226827,0.1245197
7.072244,7.1949415,0.1226975
7.1994605,7.321173,0.1217125
6.058257,6.1763964,0.1181394
7.3914204,7.5087485,0.1173281
6.7343364,6.851226,0.1168896
6.082154,6.1962585,0.1141045
6.659576,6.773061,0.113485
6.2961907,6.408525,0.1123343
6.6577983,6.7696986,0.1119003
6.678246,6.790095,0.111849
6.3106327,6.420812,0.1101793
6.5893035,6.6976438,0.1083403
7.263368,7.369575,0.106207
6.882249,6.98781,0.105561
6.2965155,6.401907,0.1053915
6.7195163,6.8238115,0.1042952
6.759867,6.864098,0.104231
6.6640925,6.7668996,0.1028071
7.343933,7.4466696,0.1027366
7.06398,7.1661205,0.1021405
6.621556,6.723415,0.101859
6.650136,6.750883,0.100747
6.39951,6.4983554,0.0988454
7.239604,7.33789,0.098286
7.042106,7.1366467,0.0945407
6.677496,6.770932,0.093436
7.1143136,7.207498,0.0931844
7.0516763,7.1443896,0.0927133
7.009527,7.100507,0.09098
5.664916,5.7558303,0.0909143
7.141302,7.2312794,0.0899774
5.6744914,5.7640295,0.0895381
6.2315435,6.321073,0.0895295
7.020071,7.108804,0.088733
6.31455,6.4030995,0.0885495
6.400776,6.486083,0.085307
7.7467303,7.8309355,0.0842052
5.1373396,5.2191854,0.0818458
6.618224,6.696073,0.077849
7.147326,7.2230606,0.0757346
6.8244066,6.8995147,0.0751081
6.60442,6.6794605,0.0750405
7.2066827,7.281706,0.0750233
7.0303154,7.104755,0.0744396
7.035301,7.1097236,0.0744226
7.062607,7.136931,0.074324
7.3645835,7.437468,0.0728845
6.4833145,6.5557203,0.0724058
6.7672405,6.839376,0.0721355
6.7697363,6.8417473,0.072011
7.1923943,7.2615204,0.0691261
6.938044,7.005798,0.067754
6.847818,6.914888,0.06707
6.960976,7.027346,0.06637
6.959144,7.0254693,0.0663253
6.121481,6.1876974,0.0662164
6.7120366,6.7777605,0.0657239
6.8767138,6.938548,0.0618342
7.2376704,7.2979045,0.0602341
