Initial molecule ; Modified molecule
N[C@H](COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12 ; C[C@H](CCc1cc(-c2ccc3NC(=O)Cc3c2)cnc1)Cc1cccc2c1[nH]cc2
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CC2CCCN2)CC1 ; Nc1c(N2CCOC2=O)c(N2CCC(c3nc(-c4nc([18F])cn4OC(F)(F)C(F)F)cn3OC3CCCN3)CC2)ncn1
Nc1ncccc1-c1nc2cc(Br)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1 ; Cc1ncccc1-c1nc2c(-c3ncc(CNC(=O)n4cccc4)cn3)cnn2c(Br)c1
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1 ; CCC(CC)n1c(Nc2ccccc2)nc2cnc(Nc3ccc([C@H]4CN(C)CCN4)cc3)nc21
N[C@H](COc1cncc(-c2cc3[nH]ncc3cc2[N+](=O)[O-])c1)Cc1c[nH]c2ccccc12 ; N[C@H](COc1cc([N+](=O)[O-])cc(-c2cn3nccc3cc2)c1)Cc1cccc2c1[nH]cc2
Cc1c(Cc2cc(=O)n3ccn([C@H]4CN(C)CCO4)c3n2)cccc1C(F)(F)F ; Cc1c(SCc2cc(=O)n3ccn([C@H]4CN(CN)CCO4)c3n2)cccc1CC(F)(F)F
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cccc(F)c1 ; O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cccc([18F])c1
CC(=O)Nc1cc(Nc2cnn3c(C#N)cc(NC4CC4)nc23)ncc1C ; COC(=O)c1cc(Nn2c(NC3CC3)nc3cc(C#N)cnc32)ccc1CN
CC1CN(CC(=O)c2cc(=O)[nH]c(N3CCOCC3)n2)c2cccc(O)c21 ; Cc1cc2nc(C3CCCC3)nc(C(=O)C[C@H]3CN(S)c4ccccc43)c2s1
NCC(NC(=O)c1sc(-c2cn[nH]c2)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; NCC(NC(=O)n1nc(-c2c[nH]nc2)nc1-c1cccc2nccn12)n1cccc1
C=CC(=O)Nc1cccc(Nc2cc(Nc3cccc(Br)c3)ncn2)c1 ; NCC(=O)Nc1cccc(Nn2ccc(SCCCc3cccc(Br)c3)cc2=O)c1
CN1CCN(Cc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)CC1 ; CN1CCN(Sc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)c(CN)c(=S)[nH]2)CC1
CC(C(=O)c1cccc2c1CCN2F)c1nc(N2CCOCC2)cc(=O)[nH]1 ; C[C@@H](Nc1c2CCN(F)c2ccc1)c1nc(N2CCOCC2)cc(=O)[nH]1
CNC(=O)c1nc(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(Cl)cc2)cnc1N ; CNC(=O)c1nc(-c2cc(Cl)ccc2C(CNS(C)(=O)=O)NC(=O)c2ccc(NC)cc2)nn1N
COC(=O)c1ccc(-c2c(N)ncnc2N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCN3CCC3)CC2)cc1 ; COC(=O)c1ccc(-c2c(N)ncnc2N2CCCC(c3nc(-c4nc([18F])cn4C(F)(F)F)cn3NCN3CCC3)C2)cc1
NCC(NC(=O)c1sc(-c2cccnc2)cc1-c1ccnc2[nH]ccc12)c1ccccc1 ; NCC(NC(=O)c1c(-c2cccc3nccn23)cc(-n2ccnc2)s1)c1ccccc1
Cn1c(NC(=O)Cc2cc(F)ccc2C(F)F)nc(N2CCOCC2)cc1=O ; COCCN(C)c1cc(=O)n(C)c(NC(=O)Cc2cc([18F])ccc2[C@@H](O)CN)n1
Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1 ; Nc1cn(-c2nn(N3CCOCC3)c(N3CCOCC3)c2)c(=O)[nH]c1=O
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1csc(C(C)C)n1 ; CC(C)c1nc(-c2c(N)nc(C(=O)N[C@H]3CCCN3CC(N)=O)s2)cs1
COc1ccc(N2CCc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3C2)cn1 ; COc1ccc(N2CCc3ncnc(-c4cccc(C(=O)NCCN5CCN(C(C)=O)CC5)c4)c3C2)cn1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)N1CCc2c(-c3ccccc3)cccc21 ; O=C(Cc1cc(=O)[nH]c(C2CCCC2)n1)c1c2CCNc2cc(-c2ccccc2)c1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN)CC1 ; C#Cc1c(CC)c(N2CCC(c3nc(-c4cc(F)ccc4C(F)(F)F)cn3CCN)CC2)ncn1
Cn1c(C(=O)Cc2cccc3c2CCN3OC(F)F)nc(N2CCOCC2)cc1=O ; Cn1c(C(=O)Cc2c3CCN(OC(F)F)c3ccc2)nc(N2CCOCC2)cc1=O
NC(=O)c1ccc(NCc2cccnc2)c2cncnc12 ; NC(=O)c1ccc(CCc2cccnn2)c2cncnc12
N[C@H](COc1cncc(C=Cc2ccncc2)c1)Cc1ccccc1 ; C[C@H](CCc1cc(C=Cc2ccncc2)cnc1)Cn1cccc1
O=c1[nH]c(-c2ccccc2)c(-c2ccc(CC3CCN(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cc1ccc(O)cc1 ; O=c1[nH]c2ccccc2n1N1CCCC(Cc2ccc(-c3c(-c4ccccc4)cnn3Cc3ccc(O)nc3)cc2)C1
Nc1nc2ccc(-c3cncc(S(=O)(=O)Nc4cccc5ccccc45)c3)cn2n1 ; Nc1nn2cc(-c3cncc(S(=O)(=O)Nc4cccc5ccccc45)c3)ccc2n1
CN(C)CC1CN(C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c2ccccc21 ; CN(C)Cc1nc([C@H](O)N2Cc3ccccc3C2=O)c(N2CCOCC2)c(=O)[nH]1
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1csc(C(C)C)n1 ; NC(=O)N1CCC[C@@H]1NC(=O)c1nc(N)c(-c2csc(C3CC3)n2)s1
CNCC1CCCN(c2ccc(C(N)=O)c3ncncc23)C1 ; COCCC1CCCN(c2ccc(C(N)=O)c3ncncc23)C1
NC1([C@@H](CCc2ccc(Cl)cc2)NC(=O)N2CCCC2)CCN(c2ncnc3[nH]ccc23)CC1 ; CCCSc1cn(CCCN(C(=O)N(CC)CC)[N+]2(C)CCN(c3nc4ccc[nH]c-4n3)CC2)c(=O)[nH]c1=O
Cc1nc(N)nc(-n2c(Nc3ccnn3C)nc3ccccc32)n1 ; Cn1cncc1CCCSc1nc2ccccc2n1-c1nc(N)nc(N)n1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21 ; CCn1nnc2c(C3COOC3)nc(-c3ccc(NC(=O)Nc4ncc(C(=O)Cc5ccncn5)cn4)cc3)nc21
CC1=NN(C(=O)c2ccc(Cl)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1 ; CC1=NN(C(=S)c2ccc(Cl)cc2)C(=O)C1N=Nc1ncc(S(=O)(=O)NCCc2ncccn2)cn1
COCCN(C)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1 ; CCCSc1ncc(-c2cc3nc(N(C)CCOC)cnc3cc2)cc1N(C(C)C)S(=O)(=O)c1ccc([18F])cc1
CN(C)CCCOc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1 ; CCOCCc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3c2cccc3OCCCN(C)C)n1
CC(C)NCCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C#N)CC1 ; CCC(=CCCNC(C)C)n1cc(-c2ccc(C(F)(F)F)cc2)nc1C1CCCN(c2cccc([11C]#N)c2N)C1
Cc1nc(C(=O)N[C@H]2C[C@H](C(N)=O)CN2O)sc1-c1csc(C(C)(C)C)n1 ; CC(C)(N)c1cc(-c2c(C#N)sc([C@H](O)CC[C@H]3C[C@@](O)(C(N)=O)C3)n2)no1
NC1(C(CO)NC(=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 ; CCCSc1ccc(C(=O)NCCC(CF)C2(N)CCN(c3ncnc4c3cc[nH]4)CC2)cc1
N[C@H](COc1cncc(-c2ccncc2)c1)Cc1c[nH]c2ccccc12 ; C[C@H](CCc1cc(-c2ccncc2)cnc1)Cc1c[nH]c2ccccc12
NC(=O)c1cccc2c(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cccc12 ; NC(=O)c1cccc2c(-c3cncc(OC[C@@H](N)Cc4cccc5c4[nH]cc5)c3)cccc12
CCOc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCN2CCC2)CC1 ; CCCNCNc1ccc(-c2cc(F)ccc2OC(F)(F)C(F)F)cc1C1CCCN(c2nc(N)nn2OCC)C1
NC1(c2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CCC1 ; N[C@]1CC[C@H](c2ncc(-c3cc4cc(-c5ccccc5)ccc4[nH]3)cn2)CC1
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1csc(C(C)(C)C)n1 ; Cc1c(-c2csc(C(C)(C)N)n2)sc(C(=O)N[C@H]2CCCN2C(N)=O)n1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cnoc3)cn2CCN2CCC2)CC1 ; N#Cc1c(N)ncnc1N1CC=C(c2nc(-c3conc3)cn2CCN2CCC2)CC1
Cc1cc(-c2cccc(OCCCC(F)(F)F)c2Cl)nc(N)n1 ; Cc1cc(-c2cn(OCCCC(F)(F)F)c(Cl)n2)nc(I)n1
