Modified,Initial,Delta
7.5912085,5.6578984,1.93331
6.5965223,5.7894077,0.8071146
6.960963,6.6417913,0.31917143
7.003349,6.8718805,0.1314683
6.836789,6.711481,0.12530804
5.6578984,5.5379567,0.11994171
6.4522996,6.3701077,0.082191944
6.9042654,6.833637,0.070628166
6.578429,6.5139,0.06452942
6.917784,6.857568,0.060216427
7.0761714,7.0258636,0.05030775
6.188016,6.1515937,0.036422253
7.104182,7.087674,0.016507626
6.0010824,5.9849133,0.016169071
6.2554183,6.249342,0.006076336
7.054454,7.0520363,0.0024175644
7.0896626,7.0896626,0.0
5.925297,5.925297,0.0
7.2131824,7.2131824,0.0
6.2907305,6.2907305,0.0
6.60442,6.60442,0.0
7.0870943,7.0870943,0.0
6.319384,6.319384,0.0
5.664916,5.664916,0.0
6.321997,6.321997,0.0
6.1892376,6.1892376,0.0
6.523421,6.523421,0.0
7.166476,7.166476,0.0
7.0796313,7.0796313,0.0
7.1835227,7.1835227,0.0
6.8089156,6.8089156,0.0
6.3852854,6.3852854,0.0
7.254564,7.254564,0.0
6.5965223,6.5965223,0.0
6.1236124,6.1236124,0.0
6.8992186,6.8992186,0.0
6.263186,6.263186,0.0
6.352992,6.352992,0.0
6.960976,6.960976,0.0
6.416304,6.416304,0.0
6.6097827,6.6097827,0.0
6.7060122,6.7060122,0.0
6.2771745,6.2771745,0.0
6.444514,6.444514,0.0
6.4903283,6.4903283,0.0
7.0132623,7.0132623,0.0
7.0648026,7.0648026,0.0
7.1509266,7.1509266,0.0
6.3759174,6.3759174,0.0
6.1504087,6.1504087,0.0
7.200303,7.200303,0.0
6.2872896,6.2872896,0.0
7.183836,7.183836,0.0
6.442753,6.442753,0.0
6.436644,6.436644,0.0
6.570969,6.570969,0.0
6.6161113,6.6161113,0.0
6.4038014,6.4038014,0.0
6.436427,6.436427,0.0
6.848341,6.848341,0.0
6.7826366,6.7826366,0.0
6.838291,6.838291,0.0
6.436644,6.436644,0.0
7.021957,7.021957,0.0
6.4005184,6.4005184,0.0
7.6921406,7.6921406,0.0
7.0258975,7.0258975,0.0
5.5966773,5.5966773,0.0
6.937022,6.937022,0.0
6.2755966,6.2755966,0.0
6.3617697,6.3617697,0.0
7.2805543,7.2805543,0.0
6.6011443,6.6011443,0.0
6.8943353,6.8943353,0.0
6.444514,6.444514,0.0
7.0947127,7.0947127,0.0
7.2922044,7.2922044,0.0
6.3894396,6.3894396,0.0
7.849102,7.849102,0.0
6.594324,6.594324,0.0
6.4950633,6.4950633,0.0
6.2907305,6.2907305,0.0
6.2281356,6.2281356,0.0
6.305157,6.305157,0.0
6.791177,6.791177,0.0
6.463245,6.463245,0.0
6.6257334,6.6257334,0.0
6.2596297,6.2596297,0.0
7.2602735,7.2602735,0.0
7.6803913,7.6803913,0.0
6.7642565,6.7642565,0.0
6.5983057,6.5983057,0.0
6.6011443,6.6011443,0.0
6.6622386,6.6622386,0.0
6.83319,6.83319,0.0
7.1989236,7.1989236,0.0
6.4008374,6.4008374,0.0
5.714459,5.714459,0.0
7.2046804,7.2046804,0.0
7.1835227,7.1835227,0.0
6.7167673,6.7167673,0.0
6.7824016,6.7824016,0.0
6.4025836,6.4025836,0.0
6.850374,6.850374,0.0
7.2164803,7.2164803,0.0
6.193567,6.193567,0.0
6.938772,6.938772,0.0
7.041539,7.041539,0.0
7.7062044,7.7062044,0.0
7.0648026,7.0648026,0.0
6.6997533,6.6997533,0.0
5.9363427,5.9363427,0.0
7.2164803,7.2164803,0.0
6.4008374,6.4008374,0.0
7.1246796,7.1246796,0.0
7.3951263,7.3951263,0.0
6.455199,6.455199,0.0
6.6577983,6.6577983,0.0
6.306107,6.306107,0.0
6.7167673,6.7167673,0.0
5.769289,5.769289,0.0
7.2805543,7.2805543,0.0
6.524018,6.524018,0.0
7.1744013,7.1744013,0.0
7.0277715,7.0277715,0.0
7.184353,7.184353,0.0
6.2872896,6.2872896,0.0
6.2755966,6.2755966,0.0
6.511273,6.511576,-0.00030326843
6.479294,6.4815664,-0.002272606
6.9577637,6.960117,-0.0023531914
6.9577637,6.960117,-0.0023531914
6.9577637,6.960117,-0.0023531914
7.082462,7.08569,-0.0032281876
7.082462,7.08569,-0.0032281876
6.1713214,6.174974,-0.0036525726
6.920053,6.9237423,-0.003689289
6.688956,6.6926484,-0.003692627
6.6664147,6.6701074,-0.003692627
7.352435,7.35708,-0.0046448708
6.674561,6.6827626,-0.008201599
6.674561,6.6827626,-0.008201599
7.316305,7.326754,-0.010448933
6.413088,6.427461,-0.014373302
6.9640484,6.9809213,-0.016872883
7.078641,7.1001663,-0.021525383
6.52162,6.5471287,-0.02550888
6.4059014,6.432754,-0.026852608
5.776502,5.808202,-0.031699657
6.277913,6.3106523,-0.032739162
7.145539,7.18413,-0.038591385
6.9562817,6.997689,-0.04140711
6.865873,6.9234757,-0.057602882
6.3870444,6.444913,-0.05786848
7.2376704,7.2979045,-0.06023407
6.650136,6.7176127,-0.06747675
6.7672405,6.839376,-0.07213545
6.7672405,6.839376,-0.07213545
6.400776,6.486083,-0.08530712
7.042106,7.1366467,-0.094540596
6.932408,7.058983,-0.126575
6.875269,7.179561,-0.3042922
5.5379567,6.5965223,-1.0585656
5.7894077,7.5912085,-1.8018007
