Modified,Initial,Delta
6.251304,6.251304,0.0
7.114396,7.114396,0.0
6.7056866,6.7056866,0.0
7.4716063,7.4716063,0.0
7.2030907,7.2030907,0.0
6.676212,6.676212,0.0
6.925053,6.925053,0.0
7.3055706,7.3055706,0.0
6.760346,6.760346,0.0
7.286745,7.286745,0.0
6.949663,6.949663,0.0
7.2457156,7.2457156,0.0
6.8311005,6.8311005,0.0
7.258456,7.258456,0.0
5.781992,5.781992,0.0
7.009026,7.009026,0.0
6.8512483,6.8512483,0.0
7.059948,7.059948,0.0
7.1720076,7.1720076,0.0
7.034774,7.034774,0.0
7.750363,7.750363,0.0
7.1823974,7.1823974,0.0
6.7144327,6.7144327,0.0
5.7044907,5.7044907,0.0
7.5415573,7.5415573,0.0
6.3457017,6.3457017,0.0
6.958793,6.958793,0.0
7.0418983,7.0418983,0.0
7.0234127,7.0234127,0.0
7.345795,7.345795,0.0
6.883837,6.883837,0.0
6.287682,6.287682,0.0
6.392383,6.392383,0.0
6.934108,6.934108,0.0
7.699866,7.699866,0.0
6.9976435,6.9976435,0.0
7.0931177,7.0931177,0.0
6.118958,6.118958,0.0
6.2674646,6.2674646,0.0
7.1087265,7.1087265,0.0
6.952152,6.952152,0.0
6.9936275,6.9936275,0.0
7.5644126,7.5644126,0.0
6.916248,6.916248,0.0
7.07189,7.07189,0.0
6.281208,6.281208,0.0
6.7562966,6.7562966,0.0
6.7702184,6.7702184,0.0
6.3849354,6.3849354,0.0
7.1858697,7.1858697,0.0
6.402106,6.402106,0.0
7.201512,7.201512,0.0
6.293534,6.293534,0.0
7.177325,7.177325,0.0
6.97962,6.97962,0.0
6.4256563,6.4256563,0.0
7.0880313,7.0880313,0.0
6.848729,6.848729,0.0
7.039749,7.039749,0.0
6.773026,6.773026,0.0
7.2844706,7.2844706,0.0
6.5179224,6.5179224,0.0
6.3711925,6.3711925,0.0
6.6871195,6.6871195,0.0
7.0552354,7.0552354,0.0
6.8528857,6.8528857,0.0
7.1053057,7.1053057,0.0
7.1753006,7.1753006,0.0
6.726676,6.726676,0.0
7.7481546,7.7481546,0.0
5.5658045,5.5658045,0.0
6.468955,6.468955,0.0
6.198392,6.198392,0.0
6.5166893,6.5166893,0.0
6.7005706,6.7005706,0.0
6.4318094,6.4318094,0.0
7.033603,7.033603,0.0
7.5850425,7.5850425,0.0
6.664585,6.664585,0.0
7.277221,7.277221,0.0
6.1916337,6.1916337,0.0
6.916572,6.916572,0.0
7.4367614,7.4367614,0.0
7.008429,7.008429,0.0
6.835318,6.835318,0.0
6.4651537,6.4651537,0.0
6.0549088,6.0549088,0.0
6.3708043,6.3708043,0.0
6.4296246,6.4296246,0.0
6.938553,6.938553,0.0
6.894408,6.894408,0.0
6.902949,6.902949,0.0
6.810451,6.810451,0.0
6.3922977,6.3922977,0.0
7.155328,7.155328,0.0
7.2081175,7.2081175,0.0
6.6219783,6.6219783,0.0
7.4357395,7.4357395,0.0
7.065183,7.065183,0.0
7.8392034,7.8392034,0.0
6.9919295,6.9919295,0.0
6.7268705,6.7268705,0.0
