Initial molecule , Modified molecule
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3ccc(C(F)(F)F)cc3)CC2)c1C1CCC1 , Nc1cccc(C2CCC2)c1C1CCN(n2cc(OCCNN3CCCC3)nc2-c2ccc(OC(F)F)cn2)CC1
CC(=O)Nc1nc(C)c(-c2cnc(N3CCCC(O)C3)o2)s1 , CC(=O)Nc1nc(C)c(-c2cnc(N3CCCC(S)C3)o2)s1
CC(C)(C)c1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1 , COCCN(C)c1cc(=O)[nH]c(CC(=O)Nc2cc(C(C)(C)C)ccc2)n1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)cc1Br , CSc1cc(C=O)ccc1N(C)c1cc(=O)[nH]c(N2CCOCC2)n1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)cc1Br , CSc1cc(N(C)c2cc(=O)[nH]c(N3CCOCC3)n2)cc(F)c1
CCn1c(NC(=O)Cc2ccc(F)cc2)nc(N2CCOCC2)cc1=O , CCn1c(NC(=O)Cc2cc(F)c[nH]2)nc(N(C)CCOC)cc1=O
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C=CC2CC2)CC1 , NCCc1ccc(OC(F)F)c(-c2cn(C3CCNC3)c(C3CCN(c4ncnc(N)c4C=CC4CC4)CC3)n2)c1
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1 , Cc1nc(N)nc(-n2c(CCNc3n[nH]c4ccccc34)nc3ccccc32)n1
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1 , CN(C)CCc1c(C2CCCN(c3cccc(C(N)=O)c3CO)C2)cnn1-c1cc(C=O)ccc1OC(F)(F)F
Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1 , COCCN(C)c1nc(-c2ccc(N)cc2)nc(N2CCOCC2)n1
COCCC(NC(=O)N1CCC(N)(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 , CNc1ccc(C(CCOC)NC(=O)[C@H]2CC[C@@](N)(c3ncnc4c3cc[nH]4)CC2)cn1
N[C@H](COc1cncc(-c2cc3[nH]ncc3cc2[N+](=O)[O-])c1)Cc1c[nH]c2ccccc12 , N[C@H](COc1nc(-c2cc3c(cn[nH]3)cc2[N+](=O)[O-])ccc1)Cc1cccc2c1[nH]cc2
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CCO)CC1 , Nc1nc2cnc(OCCOCCF)nc2n1N1C[C@H]2C[C@@]2(c2nc(-c3cc(F)ccc3C(F)(F)F)cnc2CCO)C1
CN(C)CCN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1 , CN(C)CCN(C)CCc1c(C2CCCN(c3cccc(C(N)=O)c3N)C2)cnn1-c1cc(C=O)ccc1OC(F)(F)F
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cc(F)ccc1O , COCCN(C)c1nc(N(C)c2cc(F)nn2S)cc(=O)[nH]1
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOC(CF)C2)cc(=O)[nH]1 , NC[C@H]1Cc2ccccc2N1C(=O)Cc1n[nH]c(N2CCOC(CO)C2)c1
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc4[nH]ncc4c3)cn2CCN2CCC2)CC1 , CCCNCCn1cc(-c2ccc3[nH]ncc3c2)nc1C1CCN(c2n[nH]c(F)c2C#N)CC1
CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc3[nH]ccc3c2)n1 , CCCNS(=O)(=O)c1cc(OCCOCCF)nc(-c2cccc3c2cc[nH]3)n1
