Initial molecule , Modified molecule
N#Cc1c(N)ncnc1N1CCC[C@@H]1c1nn2cccc2c(=O)n1-c1ccccc1 , N#Cc1c(C(=O)O)ncnc1N1CCC[C@@H]1c1cnc2[nH]c(=O)n(-n3cccc3)c2n1
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cc(F)ccc3C(F)(F)F)CC2)c1Cl , CNc1c(C2CCN(n3cc(CCN4CCCC4)nc3-c3cc(F)ccc3OC(F)(F)F)CC2)ncnc1N
Cn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2C#N)CC1 , CC=C(CC)n1cc(-c2ccc(C(F)(F)F)cc2)nc1C1CCN(c2cccc([11C]#N)c2N)CC1
Cn1c(NC(=O)Cc2cc(F)ccc2C(F)F)nc(N2CCOCC2)cc1=O , COCCN(C)c1cc(=O)n(N)c(NC(=O)Cc2cc([18F])ccc2[C@@H](O)CN)n1
C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc(NC(=O)NC3CC3)cc2)n1 , CC(C)CCOC(=O)Nc1cnc(-c2nc(N3CCOC[C@@H]3C)cc(CS(C)(=O)=O)n2)nc1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)cn1 , O=C(Cc1ccc(F)cn1)Cc1cc(=O)[nH]c(N2CCOCC2)n1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1ccc(F)c(C(=O)O)c1 , COCCN(C)c1cc2c(cn1)[nH]nc2CC(=O)Nc1ccc(F)c(C(=N)N)c1
CCC1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21 , CCCCCCOC1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
Nc1cc(C(F)F)c(-c2nc(N3C4COCC3C4)nc(N3C4COCC3C4)n2)cn1 , Nc1nc(C(F)F)nn1-c1nn(N2C3COCC2C3)c(N2C3COCC2C3)c1
N[C@H](CNc1cc(Cl)cnc1C=Cc1ccncc1)Cc1c[nH]c2ccccc12 , N[C@H](CNc1cn(C=Cc2ccncc2)c(=O)n(Cl)c1=O)Cc1c[nH]c2ccccc12
Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cccc(C(F)(F)F)c3)CC2)c1C1CCC1 , Nc1ncnc(C2CCN(n3cc(CCN4CCCC4)nc3-c3cc(C(F)(F)F)ccc3)CC2)c1C1CCC1
Cc1cc(-c2nc(NCCC3CCCC3)cn2N2CCC(c3c(N)ncnc3C(N)=O)CC2)ccc1F , Cc1cc(-c2nc(NCCCC3CCCC3)cn2N2CCC(c3c(CC(N)=O)ncnc3N)CC2)ccc1[18F]
C=Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CC2CNC2)CC1 , C=Cc1c(CC#N)ncnc1N1CCC(c2cc(-c3cc([18F])ccc3OC(F)(F)C(F)F)ccc2CC2CNC2)CC1
Cn1c(NC(=O)Cc2cc(F)ccc2Cl)nc(N2CCOCC2)cc1=O , CCCSc1ccc(F)cc1CC(=O)N[C@@H]1c2ccccc2N(N(C)CCOC)[C@@H]1C
O=C(Cn1c(N2CCOCC2)nc(C2CC2)cc1=O)N1CCc2c(Cl)cccc21 , CNc1c2CCN([C@@]3(c4nc5c(C6CC6)nc(N(C)CCOC)nc5s4)OCCO3)c2ccc1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cccc(O)c1 , O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cncc(O)c1
C=Cc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3C(F)(F)F)cn2CC2CNC2)CC1 , C=Cc1c(N)ncnc1N1CCC(c2cc(-c3nc([18F])cn3C(F)(F)F)ccc2CCCNC)CC1
CC1(C)Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1 , COCCN(C)c1cc(=O)[nH]c([C@H](O)N2c3ccccc3CC2(C)CN)n1
CC(C)Nc1ccc2cnn(-c3cncc(-c4ccc(C(=O)O)cc4F)n3)c2c1 , CC(C)Oc1ccc2cnn(-c3cncc(-c4ncc(C(=O)O)cc4[18F])n3)c2c1
CC1CN(c2cc(=O)[nH]c(CC(=O)N3CCc4c(Cl)cccc43)n2)CCO1 , CNc1cc(C(=O)Cc2nc(N3CCOC(CN)C3)cc(=O)[nH]2)c2CCNc2c1
CNC(=O)c1nc(-c2cc(Cl)ccc2NS(=O)(=O)c2ccccc2Cl)cnc1N , CNC(=O)c1nc(-c2cc(Cl)ccc2NS(=O)(=O)c2ccccc2NC)nn1I
CCC1CN(c2cc(=O)[nH]c(CC(=O)Nc3ccc(F)cc3)n2)CCO1 , O=C(Cc1ncccc1N1CCOC(CCF)C1)Nc1ccc([18F])nc1
O=S(=O)(Cc1nc(-c2ccccn2)cc(N2CCOCC2)n1)c1ccc(F)cc1 , O=S(=O)(Cc1ccc([18F])nc1)Nc1nc(N2CCOCC2)cc(-c2ccccn2)n1
