Initial molecule ; Modified molecule
Cn1c(NC(=O)Cc2ccc(F)cc2)nc(N2CCOCC2)cc1=O ; COCCN(C)c1cc(=O)n(CN)c(NC(=O)Cn2cc(F)c(=O)[nH]c2=O)n1
CCc1c(N)ncnc1N1CCC(c2nc(-c3cc(F)ccc3F)cn2CCN2CC(F)C2)CC1 ; O=C(O)c1c(CCF)c(N2CCC(c3nc(-c4cc(F)ccc4[18F])cn3COCN3CC(F)C3)CC2)ncn1
COc1ccc(Nc2nc3ccc(N4CCNCC4)cn3c2-c2nc(C)nc(N)n2)cn1 ; Cc1nc(N)nc(-c2c(Nc3ccc(C=O)nc3)nc3ccc(C(O)CNC(C)C)cn23)n1
Cn1c(Cc2cc(=O)[nH]c(N3CCOCC3)n2)nc2c(-c3ccccc3)cccc21 ; NCc1cc2nc(N3CCOCC3)nc(CSn3c(-n4cccc4)nc4ccccc43)c2s1
CCN(CCn1cc(-c2cc(F)ccc2C)nc1C1CCN(c2ncnc(N)c2C#N)CC1)C(C)C ; CCN(CCn1cc(-c2cc(F)ccc2C)nc1C1CCCN(c2ncnc(N)c2[11C]#N)C1)C(C)C
O=S(=O)(Nc1ncc(Cl)cc1-c1cnc2ccc(CNC3CCCNC3)cc2n1)c1ccc(F)cc1 ; O=S(=O)(Nc1ncc(Cl)cc1-c1nc2cc(CNC3CCNCC3)ccc2nc1)c1ccc(F)cc1
O=C(Cc1cc(=O)[nH]c(N2CCOCC2)n1)Nc1cccc(OC2CCCC2)c1 ; CCC(CC)Cc1cc(NC(=O)Cc2cc(=O)[nH]c(N(C)CCOC)n2)ccc1
Cc1nc(C(=O)N[C@H]2CCCN2C(N)=O)sc1-c1ccnc(C2(C)CC2)n1 ; CC(=O)N1CCC[C@@H]1NC(=O)c1nc(C#N)c(-c2ccnc(C3(CN)CCC3)n2)s1
O=C(Cc1cc(=O)[nH]c(C2CN(CO)CCO2)n1)N1CCc2c(Cl)cccc21 ; CNc1c2CCN([C@@]3(c4cc(=O)[nH]c(C5CN(CCO)CCO5)n4)OCCO3)c2ccc1
CC1Cc2cc(F)ccc2N1C(=O)Cc1nc(N2CCOCC2)sc1C(=O)O ; N=C(N)c1cc(N2CCOCC2)ncc1NC(=O)Nc1c2c(ccc1)N([18F])CC2N
NC1(C(CCCO)NC(=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 ; O=C(NC/C=C/CC1(I)CCN(c2nc3ccc[nH]c-3n2)CC1)n1cc(Cl)c(=O)[nH]c1=O
Nc1cc(CO)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1 ; CCOCCc1cc(-c2c(CO)cc(I)nc2)nn1N1CCOCC1
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21 ; CCn1nnc2c(C3COOC3)nc(-c3ccc(C(=O)Cc4ccc(C(=O)Cc5ccncn5)cc4)cc3)nc21
Cc1nc(C(=O)N[C@H]2[C@@H](C(N)=O)CCN2C)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1 ; Cc1c(-c2ccnc(C(N)CC(F)(F)F)c2)sc(C(=O)N[C@H]2[C@@H](CC(N)=O)CCN2C)n1
CS(=O)(=O)C1(c2cc(-c3cc(F)ncc3N)nc(N3CCOCC3)n2)CC1 ; COCCN(C)c1nc(C2(S(C)(=O)=O)CC2)cc(-c2cc(F)ncc2C(=O)O)n1
Cc1ncc2ccccc2c1-c1nc(N2CCOCC2)c2sc(CN3CCC(N(C)C)CC3)cc2n1 ; Cc1nc2ccccc2cc1-c1nc(N2CCOCC2)c2sc(CN3CCCC(N(C)C)C3)cc2n1
Cn1nc(N2CCC(C(=O)CCO)CC2)nc1-c1cnc(N)c(-c2nnc(C(C)(C)C)o2)n1 ; Cn1nc(N2CCC(C(=O)[C@@H](O)CO)CC2)nc1-c1cnc(N)c(-c2ccc(C(C)(C)N)o2)n1
COc1ccc(-c2cccc(S(=O)(=O)N3CCN(c4nccnc4-c4ccc(OC)cc4)CC3)c2)cc1 ; COc1ccc(-c2cccc(S(=O)(=O)[C@H]3CC[C@H](c4c(-c5ccc(O[11CH3])nc5)[nH]c(=O)cn4)CC3)c2)cc1
CN(C)CCn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(N)c2-c2ccc(C(=O)O)cc2)CC1 ; CCN(CC)Cn1cc(-c2cc(F)ccc2C(F)(F)F)nc1C1CCN(c2ncnc(CC#N)c2-c2ccc(C(=N)N)nc2)CC1
